"dool 1.3.6 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","webserver1",,,,"User:","pascal"
"Cmdline:","./dool -c -m -n --output LC_100T_1200R_1800D_2vCPU_ws1.csv",,,,"Date:","27 Apr 2026 10:27:26 WIB"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","cach","avai","recv","send"
0.844,1.192,97.622,0.341,0,653434880,61784064,283971584,231112704,0,0
0,0,100,0,0,653660160,61526016,283979776,230920192,480,944
0.500,0,99.500,0,0,653668352,61517824,283979776,230912000,1120,592
0,0,100,0,0,653668352,61517824,283979776,230912000,480,0
0,0,100,0,0,653668352,61517824,283979776,230912000,1120,592
0,0,100,0,0,653672448,61513728,283979776,230907904,480,480
0.503,0.503,98.995,0,0,653676544,61509632,283979776,230981632,1600,1072
0,0,100,0,0,653676544,61509632,283979776,230981632,3024,0
0.508,0,99.492,0,0,653676544,61509632,283979776,230981632,4144,592
0.505,0,99.495,0,0,653680640,61505536,283979776,230977536,0,0
0,0,100,0,0,653680640,61505536,283979776,230977536,4144,592
0,0,100,0,0,653692928,61493248,283979776,230965248,0,0
0.503,0,99.497,0,0,653692928,61493248,283979776,230965248,1120,592
0,0,100,0,0,653692928,61493248,283979776,230965248,0,0
0,0,100,0,0,653692928,61493248,283979776,230965248,4144,592
5.917,4.142,89.941,0,0,646176768,74661888,278327296,236392448,225008,272464
14.286,3.429,82.286,0,0,646426624,74420224,278315008,236187648,547096,680816
17.442,2.326,79.651,0.581,0,646656000,74190848,278315008,235970560,512296,531152
14.535,2.326,83.140,0,0,646639616,74190848,278331392,235970560,571784,717536
17.614,3.977,78.409,0,0,646639616,74190848,278331392,235986944,539440,559008
20.115,2.299,77.586,0,0,646864896,73961472,278335488,235761664,615952,752592
11.765,5.882,82.353,0,0,646864896,73961472,278335488,235761664,567200,638568
18.824,4.706,76.471,0,0,646873088,73961472,278327296,235761664,550248,651392
12.281,4.094,83.626,0,0,646864896,73961472,278335488,235769856,648824,742512
16.568,4.734,78.698,0,0,646860800,73961472,278339584,235773952,518872,583832
16.374,2.339,81.287,0,0,646860800,73961472,278339584,235773952,669512,774888
17.919,3.468,78.613,0,0,646860800,73961472,278339584,235773952,554424,617424
33.526,4.624,61.850,0,0,647127040,73703424,278331392,235515904,771608,920456
39.080,6.897,54.023,0,0,647372800,73445376,278343680,235270144,924176,1121168
37.430,7.263,55.307,0,0,647372800,73445376,278343680,235270144,930696,1015720
33.526,8.092,58.382,0,0,647598080,73216000,278347776,235044864,1002272,1158472
35.556,6.667,57.778,0,0,647856128,72957952,278347776,234786816,876016,1025744
28.235,7.059,64.118,0.588,0,647864320,72957952,278339584,234786816,926416,1047832
35.955,5.618,58.427,0,0,647852032,72957952,278351872,234799104,892240,1046304
35.632,9.195,55.172,0,0,647852032,72957952,278351872,234799104,894760,1068616
37.222,6.667,56.111,0,0,647852032,72957952,278351872,234799104,907488,985824
31.792,7.514,60.694,0,0,647847936,72957952,278355968,234803200,948464,1129632
33.918,4.678,61.404,0,0,647856128,72957952,278347776,234803200,918088,1067656
42.197,4.624,53.179,0,0,647847936,72957952,278355968,234811392,913968,1070936
31.214,6.358,62.428,0,0,647843840,72957952,278360064,234815488,873136,936360
27.528,5.618,66.854,0,0,647847936,72957952,278355968,234819584,697952,828200
28.902,4.046,67.052,0,0,647843840,72957952,278360064,234823680,735056,846896
27.429,5.714,66.857,0,0,647839744,72957952,278364160,234840064,782792,894608
19.512,5.488,75,0,0,647839744,72957952,278364160,234840064,716720,840624
23.837,6.395,69.767,0,0,647839744,72957952,278364160,234840064,767760,860872
30.435,4.891,64.674,0,0,647835648,72957952,278368256,234844160,778288,890416
21.591,6.250,72.159,0,0,648093696,72699904,278368256,234586112,728776,846048
31.383,4.787,63.830,0,0,648101888,72699904,278360064,234586112,762832,892504
26.667,6.111,67.222,0,0,648089600,72699904,278372352,234598400,736056,852496
25.424,6.215,68.362,0,0,648089600,72699904,278372352,234598400,750048,866568
27.684,5.650,66.667,0,0,648089600,72699904,278372352,234598400,736424,860904
24.862,7.182,67.956,0,0,648085504,72699904,278376448,234602496,683240,795808
19.209,6.215,74.576,0,0,648081408,72699904,278380544,234606592,587296,626272
24.294,5.650,70.056,0,0,648081408,72699904,278380544,234614784,679544,753680
25.281,5.618,69.101,0,0,648081408,72699904,278380544,234614784,629664,741720
26.257,3.352,70.391,0,0,648077312,72699904,278384640,234618880,604336,759448
19.149,4.787,76.064,0,0,648077312,72699904,278384640,234618880,662808,763848
17.778,5,77.222,0,0,648077312,72699904,278384640,234618880,590624,714840
15.205,4.678,79.532,0.585,0,648077312,72699904,278384640,234627072,535864,543000
21.387,6.358,72.254,0,0,648073216,72699904,278388736,234627072,642488,693720
27.322,4.918,67.760,0,0,648073216,72699904,278388736,234631168,624136,747280
22.778,3.889,73.333,0,0,648073216,72699904,278388736,234631168,601184,744072
16.111,5,78.889,0,0,648069120,72699904,278392832,234631168,624704,760048
38.333,3.889,57.778,0,0,648069120,72699904,278392832,234643456,648368,751944
27.869,6.557,65.574,0,0,648069120,72699904,278392832,234643456,755616,890840
32.787,3.279,63.934,0,0,648069120,72699904,278392832,234643456,803096,881424
31.720,5.376,62.903,0,0,648069120,72699904,278392832,234643456,740584,886392
29.348,5.435,65.217,0,0,648065024,72699904,278396928,234647552,816232,892616
32.065,6.522,61.413,0,0,648073216,72699904,278388736,234647552,765176,881368
29.121,5.495,65.385,0,0,648060928,72699904,278401024,234655744,798904,861304
28.962,5.464,65.574,0,0,648060928,72699904,278401024,234659840,768568,963576
36.264,6.044,57.692,0,0,652513280,68247552,278401024,230207488,769496,884200
36.957,4.891,58.152,0,0,652513280,68247552,278401024,230207488,819232,970776
27.684,4.520,67.232,0.565,0,652517376,68247552,278396928,230211584,799800,991048
25.281,6.180,68.539,0,0,652513280,68243456,278405120,230215680,763456,790584
49.721,6.704,43.575,0,0,653471744,67215360,278474752,229257216,771976,950320
24.064,6.417,69.519,0,0,653467648,67215360,278478848,229261312,911456,1015120
38.547,7.821,53.631,0,0,653467648,67215360,278478848,229261312,900296,958224
32.597,6.077,61.326,0,0,653701120,66985984,278474752,229031936,879336,1220232
34.066,6.593,59.341,0,0,653692928,66985984,278482944,229044224,811168,810440
38.333,7.778,53.889,0,0,653692928,66985984,278482944,229044224,893248,1071848
28.090,6.180,65.730,0,0,654462976,66211840,278487040,228274176,813240,933904
44.737,11.053,44.211,0,0,654462976,66211840,278487040,228274176,1024208,1191480
27.717,5.978,66.304,0,0,655761408,64921600,278478848,226983936,905200,1082728
43.548,7.527,48.925,0,0,655749120,64921600,278491136,226992128,842352,866416
27.933,5.587,66.480,0,0,655749120,64921600,278491136,226996224,939944,1188152
27.429,9.143,63.429,0,0,655749120,64921600,278491136,226996224,751664,787400
45.055,6.593,48.352,0,0,656003072,64663552,278495232,226742272,884760,1109808
19.444,2.778,77.778,0,0,656003072,64663552,278495232,226742272,738456,774152
43.716,6.011,50.273,0,0,656003072,64663552,278495232,226742272,882208,1029632
23.333,5.556,71.111,0,0,655998976,64663552,278499328,226754560,814584,968272
37.569,6.630,55.801,0,0,655998976,64663552,278499328,226754560,816128,876192
34.066,7.143,58.791,0,0,655998976,64663552,278499328,226754560,839464,1051840
33.690,6.417,59.893,0,0,655994880,64663552,278503424,226758656,778368,825096
34.759,6.417,58.824,0,0,655994880,64663552,278503424,226762752,821376,1010984
26.111,5,68.889,0,0,655994880,64663552,278503424,226766848,752776,772384
32.240,7.650,60.109,0,0,655990784,64663552,278507520,226770944,832608,1089800
25.269,6.989,67.742,0,0,655990784,64663552,278507520,226770944,663680,638424
32.240,3.279,64.481,0,0,656248832,64405504,278507520,226512896,754568,921040
26.667,2.778,70,0.556,0,656252928,64405504,278503424,226516992,610224,704384
24.719,2.247,73.034,0,0,656244736,64405504,278511616,226525184,636328,738264
28.333,6.667,65,0,0,656244736,64405504,278511616,226525184,700848,809848
14.973,4.813,80.214,0,0,656244736,64405504,278511616,226525184,682248,794280
29.121,4.945,65.934,0,0,656240640,64405504,278515712,226529280,704456,783512
23.729,3.390,72.881,0,0,656248832,64405504,278507520,226529280,660888,769576
30.939,6.077,62.983,0,0,656236544,64405504,278519808,226541568,693424,830352
23.333,5,71.667,0,0,656232448,64405504,278523904,226545664,649944,694624
29.730,5.405,64.865,0,0,656232448,64405504,278523904,226545664,749480,916824
28.261,6.522,65.217,0,0,656232448,64405504,278523904,226545664,662360,728792
23.889,5,71.111,0,0,656240640,64405504,278515712,226545664,730456,817856
32.609,5.435,61.957,0,0,656228352,64405504,278528000,226557952,693568,812720
33.520,4.469,62.011,0,0,656228352,64405504,278528000,226557952,707352,948120
36.813,4.945,58.242,0,0,656228352,64405504,278528000,226557952,798568,789928
26.519,4.420,69.061,0,0,656224256,64405504,278532096,226562048,845504,1020064
38.378,7.568,54.054,0,0,656232448,64405504,278523904,226562048,811424,908000
23.757,3.315,72.928,0,0,656224256,64405504,278532096,226570240,781656,942344
45.810,3.352,50.838,0,0,656220160,64405504,278536192,226570240,811552,959816
20.879,5.495,73.626,0,0,656220160,64405504,278536192,226574336,753960,733376
39.674,6.522,53.804,0,0,656478208,64147456,278536192,226316288,797080,1092120
30.337,5.618,63.483,0.562,0,656478208,64147456,278536192,226324480,783792,775104
23.626,6.044,70.330,0,0,657248256,63373312,278540288,225554432,879048,1125464
41.304,5.978,52.717,0,0,657248256,63373312,278540288,225554432,777480,778712
21.348,5.618,73.034,0,0,657244160,63373312,278544384,225558528,798736,1027040
48.851,9.195,41.954,0,0,657244160,63373312,278544384,225558528,758888,950696
24.309,6.077,69.613,0,0,657252352,63373312,278536192,225558528,806904,742712
26.667,6.111,67.222,0,0,657498112,63115264,278548480,225312768,984888,1350080
47.458,6.780,45.763,0,0,657498112,63115264,278548480,225312768,781376,773264
17.241,4.023,78.736,0,0,657498112,63115264,278548480,225312768,793072,870224
33.333,6.667,60,0,0,658526208,62087168,278548480,224284672,967392,1231720
43.750,6.250,50,0,0,658780160,61829120,278552576,224030720,755784,655464
9.827,4.624,85.549,0,0,658780160,61829120,278552576,224030720,867680,1054640
56.571,8,35.429,0,0,653029376,73072640,273055744,227344384,855656,1072904
22.905,3.352,73.743,0,0,653029376,73072640,273055744,227344384,808064,717824
30.409,6.433,63.158,0,0,657481728,68620288,273055744,222892032,972696,1371480
46.154,7.143,46.703,0,0,657477632,68620288,273059840,222896128,700128,719952
9.770,4.598,85.057,0.575,0,657477632,68620288,273059840,222904320,820264,867360
33.333,4.520,62.147,0,0,657477632,68620288,273059840,222904320,913352,1211928
42.857,5.714,51.429,0,0,657264640,68620288,273272832,223117312,641816,637928
12.644,2.874,84.483,0,0,657244160,68620288,273293312,223137792,760440,780248
34.254,4.972,60.773,0,0,657244160,68620288,273293312,223137792,977768,1267528
40.462,5.780,53.757,0,0,657248256,68620288,273289216,223141888,713504,625856
15.909,3.409,80.682,0,0,657240064,68620288,273297408,223150080,656800,809712
28.492,3.911,67.598,0,0,657240064,68620288,273297408,223150080,975408,1202688
40.805,6.897,52.299,0,0,657235968,68620288,273301504,223150080,759928,695848
15.556,4.444,80,0,0,657235968,68620288,273301504,223154176,625192,766952
41.848,6.522,51.630,0,0,657244160,68620288,273293312,223154176,928256,1170800
35.556,5,59.444,0,0,657231872,68620288,273305600,223162368,816176,753496
21.512,2.907,75.581,0,0,657231872,68620288,273305600,223166464,692072,777616
49.444,6.111,44.444,0,0,657231872,68620288,273305600,223166464,931896,1238408
38.122,3.867,58.011,0,0,657227776,68620288,273309696,223170560,867720,849728
20.571,3.429,76,0,0,657227776,68620288,273309696,223170560,856888,990160
50.829,3.867,44.751,0.552,0,658255872,67592192,273309696,222142464,872896,1114960
37.705,5.464,56.831,0,0,658251776,67592192,273313792,222154752,834440,790096
22.099,4.420,73.481,0,0,658251776,67592192,273313792,222154752,791848,902520
50.549,6.593,42.857,0,0,659513344,66330624,273313792,220893184,981064,1254040
39.106,5.028,55.866,0,0,660430848,65052672,273674240,219926528,876360,842984
22.703,4.324,72.973,0,0,660410368,65052672,273678336,219996160,841816,975392
47.541,5.464,46.995,0,0,660410368,65052672,273678336,219996160,852192,1086520
35.294,4.813,59.893,0,0,660402176,65052672,273686528,220004352,802024,669816
13.966,2.235,83.799,0,0,660402176,65052672,273686528,220004352,625896,717568
27.528,4.494,67.978,0,0,660410368,65052672,273678336,220004352,827200,1068856
44.681,8.511,46.809,0,0,660398080,65052672,273690624,220016640,786232,854640
25.967,4.972,69.061,0,0,660656128,64794624,273690624,219758592,818864,783392
17.935,5.978,76.087,0,0,660656128,64794624,273690624,219758592,813184,795304
51.934,7.182,40.884,0,0,660656128,64794624,273690624,219758592,812872,1116984
35.676,4.865,59.459,0,0,660652032,64794624,273694720,219762688,861520,877192
15.084,5.028,79.888,0,0,660652032,64794624,273694720,219770880,686648,786384
36.612,6.011,57.377,0,0,660652032,64794624,273694720,219770880,886480,1127032
41.304,5.978,52.717,0,0,660647936,64794624,273698816,219774976,883744,756680
25.275,5.495,69.231,0,0,660647936,64794624,273698816,219774976,662640,787040
22.460,5.882,71.658,0,0,660647936,64794624,273698816,219774976,823952,1056464
55.497,7.853,36.649,0,0,660570112,64794624,273776640,219787264,815232,999624
36.612,6.011,57.377,0,0,660533248,64794624,273813504,219897856,864680,769520
