"dool 1.3.6 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","webserver2",,,,"User:","pascal"
"Cmdline:","./dool -c -m -n --output LC_100T_1200R_1800D_ws2.csv",,,,"Date:","24 Apr 2026 20:42:00 WIB"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","cach","avai","recv","send"
36.306,10.456,53.211,0.027,0,643264512,177352704,178651136,235069440,0,0
0,0,100,0,0,643231744,177352704,178683904,235069440,1600,1536
0,0,100,0,0,643231744,177352704,178683904,235069440,12608,0
0,0,100,0,0,643231744,177352704,178683904,235069440,1120,592
0,0,100,0,0,643231744,177352704,178683904,235069440,0,0
0,0,100,0,0,643231744,177352704,178683904,235069440,1600,1072
0,0,100,0,0,643231744,177352704,178683904,235069440,480,480
0,0,100,0,0,643231744,177352704,178683904,235081728,1120,592
0,0,100,0,0,643231744,177352704,178683904,235081728,480,480
0,0,100,0,0,643231744,177352704,178683904,235081728,1120,592
0,0,100,0,0,643231744,177352704,178683904,235081728,12608,0
1.053,0,98.947,0,0,643231744,177352704,178683904,235081728,13728,592
0,0,100,0,0,643231744,177352704,178683904,235081728,0,0
1.042,0,98.958,0,0,643231744,177352704,178683904,235081728,13728,592
0,0,100,0,0,643231744,177352704,178683904,235081728,0,0
19.540,6.897,73.563,0,0,643231744,177352704,178683904,235081728,120928,182680
28.736,18.391,52.874,0,0,643231744,177352704,178683904,235098112,664208,782336
37.647,14.118,48.235,0,0,643231744,177352704,178683904,235098112,564272,599304
41.463,15.854,42.683,0,0,643231744,177352704,178683904,235098112,620176,744904
34.483,20.690,44.828,0,0,643244032,177352704,178688000,235094016,690672,794256
34.940,18.072,46.988,0,0,643244032,177352704,178688000,235094016,698456,831688
38.554,19.277,42.169,0,0,643256320,177352704,178675712,235094016,688432,783552
37.805,17.073,45.122,0,0,643244032,177352704,178688000,235106304,615416,676960
39.080,13.793,47.126,0,0,643239936,177352704,178692096,235110400,574448,688136
31.325,19.277,49.398,0,0,643239936,177352704,178692096,235110400,678128,808056
36.782,20.690,42.529,0,0,643239936,177352704,178692096,235110400,604408,639616
39.759,15.663,43.373,1.205,0,643252224,177352704,178679808,235110400,586208,690624
31.034,19.540,49.425,0,0,643235840,177352704,178696192,235126784,684264,801944
34.831,15.730,49.438,0,0,643235840,177352704,178696192,235126784,438408,491176
22.826,16.304,60.870,0,0,643235840,177352704,178696192,235126784,515096,554432
31.818,11.364,56.818,0,0,643235840,177352704,178696192,235126784,545640,683376
36.145,14.458,49.398,0,0,643244032,177352704,178688000,235130880,496920,522680
29.213,11.236,59.551,0,0,643231744,177352704,178700288,235143168,568688,677512
35.632,12.644,51.724,0,0,643231744,177352704,178700288,235143168,449128,514160
32.955,13.636,53.409,0,0,643231744,177352704,178700288,235143168,536368,590096
29.412,14.118,56.471,0,0,643231744,177352704,178700288,235143168,510056,641544
32.941,15.294,51.765,0,0,643227648,177352704,178704384,235147264,433800,475560
23.596,16.854,59.551,0,0,643227648,177352704,178704384,235159552,551256,622656
38.824,15.294,45.882,0,0,643227648,177352704,178704384,235159552,552248,653592
