"dool 1.3.6 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","webserver1",,,,"User:","pascal"
"Cmdline:","./dool -c -m -n --output LC_100T_400R_ws1.csv",,,,"Date:","21 Apr 2026 14:01:44 WIB"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","cach","avai","recv","send"
0.828,1.715,97.408,0.049,0,680411136,68673536,250613760,200552448,0,0
1.053,1.053,97.895,0,0,678371328,73334784,247959552,202670080,480,944
0,0,100,0,0,678363136,73334784,247967744,202670080,1120,592
0,0,100,0,0,678363136,73334784,247967744,202670080,3024,0
0,0,100,0,0,678363136,73334784,247967744,202670080,4144,592
0,0,100,0,0,678363136,73334784,247967744,202670080,480,480
0,1.042,98.958,0,0,678363136,73334784,247967744,202678272,4144,592
0,0,100,0,0,678363136,73334784,247967744,202678272,480,0
0,0,100,0,0,678363136,73334784,247967744,202686464,1120,592
0,0,100,0,0,678363136,73334784,247967744,202686464,0,0
1.042,0,98.958,0,0,678363136,73334784,247967744,202686464,4144,592
36.905,13.095,48.810,1.190,0,680202240,70524928,248938496,200802304,437928,552968
34.483,18.391,47.126,0,0,681213952,69492736,248958976,199811072,661504,772672
39.080,22.989,37.931,0,0,683761664,66940928,248963072,197263360,505936,583984
31.765,16.471,51.765,0,0,683745280,66940928,248979456,197279744,689000,793088
32.941,15.294,51.765,0,0,683974656,66711552,248979456,197050368,505216,541104
32.609,15.217,52.174,0,0,683974656,66711552,248979456,197050368,529720,660960
32.927,18.293,48.780,0,0,684232704,66453504,248979456,196800512,482080,553144
28.090,11.236,60.674,0,0,684228608,66453504,248983552,196804608,509896,552096
56.790,13.580,29.630,0,0,684457984,66224128,248983552,196575232,555072,641088
47.778,21.111,31.111,0,0,684716032,65966080,248983552,196317184,609720,750080
43.182,21.591,35.227,0,0,684945408,65736704,248983552,196087808,737576,845928
61.798,17.978,20.225,0,0,685199360,65478656,248987648,195842048,707744,826936
44.706,22.353,32.941,0,0,685199360,65478656,248987648,195842048,693320,827152
30.233,11.628,58.140,0,0,685199360,65478656,248987648,195842048,609184,722416
41.573,20.225,38.202,0,0,685199360,65478656,248987648,195842048,626168,717656
48.864,20.455,30.682,0,0,685195264,65478656,248991744,195846144,752104,878128
73.256,20.930,5.814,0,0,685195264,65478656,248991744,195854336,599352,688440
57.471,16.092,26.437,0,0,685453312,65220608,248991744,195596288,781520,959632
44.681,22.340,32.979,0,0,685449216,65220608,248995840,195600384,760408,812352
67.857,17.857,14.286,0,0,685449216,65220608,248995840,195600384,603072,739832
43.023,16.279,40.698,0,0,685707264,64962560,248995840,195342336,710048,881320
39.130,19.565,41.304,0,0,685715456,64962560,248987648,195342336,590792,546032
43.011,17.204,39.785,0,0,685965312,64700416,248999936,195092480,843016,1080888
51.724,19.540,28.736,0,0,685965312,64700416,248999936,195092480,544552,540240
61.458,15.625,22.917,0,0,685965312,64700416,248999936,195092480,706944,979136
68.235,21.176,10.588,0,0,685961216,64700416,249004032,195096576,621432,693288
27.473,17.582,54.945,0,0,685969408,64700416,248995840,195096576,686976,660928
41.573,26.966,30.337,1.124,0,680341504,76771328,242552832,200081408,670096,971384
68.919,21.622,9.459,0,0,680849408,76259328,242540544,199585792,265936,315008
29.032,19.355,51.613,0,0,680837120,76259328,242552832,199598080,828968,843104
63.953,25.581,10.465,0,0,682901504,74194944,242552832,197533696,797024,1054120
67.816,19.540,12.644,0,0,684199936,72904704,242544640,196243456,497280,500440
37.363,13.187,49.451,0,0,684191744,72904704,242552832,196251648,1075648,1286408
70.930,17.442,11.628,0,0,685735936,71356416,242556928,194707456,513880,603168
46.067,16.854,37.079,0,0,685735936,71356416,242556928,194707456,764176,721288
59.341,17.582,23.077,0,0,685993984,71098368,242556928,194449408,834208,1121080
76.923,18.681,4.396,0,0,685989888,71098368,242561024,194453504,717216,877088
76.744,23.256,0,0,0,686247936,70840320,242561024,194195456,672192,700424
34.021,18.557,47.423,0,0,686247936,70840320,242561024,194203648,826768,933192
68.478,19.565,11.957,0,0,687280128,69808128,242561024,193171456,839056,1144112
77.528,22.472,0,0,0,687271936,69808128,242569216,193179648,776400,740664
56.989,20.430,22.581,0,0,688562176,68517888,242569216,191889408,861568,947824
51.087,15.217,33.696,0,0,688566272,68517888,242565120,191893504,613880,687584
56.322,14.943,28.736,0,0,689045504,68030464,242573312,191414272,1050144,1365776
80.247,19.753,0,0,0,689045504,68030464,242573312,191414272,600248,638008
59.140,15.054,25.806,0,0,689045504,68030464,242573312,191414272,728416,802008
47.312,11.828,40.860,0,0,690061312,67010560,242577408,190398464,964600,1228192
84.615,15.385,0,0,0,690069504,67010560,242569216,190398464,600384,728960
65.934,18.681,15.385,0,0,690061312,67010560,242577408,190406656,760480,664880
27.835,13.402,58.763,0,0,691089408,65978368,242581504,189378560,875320,991120
77.778,20,2.222,0,0,691347456,65720320,242581504,189120512,941728,1308184
85.185,14.815,0,0,0,691347456,65720320,242581504,189120512,443984,487120
27.835,18.557,53.608,0,0,691343360,65720320,242585600,189124608,931008,800544
39.583,13.542,46.875,0,0,691343360,65720320,242585600,189124608,819336,936440
73.958,14.583,11.458,0,0,691601408,65462272,242585600,188874752,832888,1272640
77.108,18.072,4.819,0,0,691597312,65462272,242589696,188878848,586384,507568
67.021,19.149,13.830,0,0,691597312,65462272,242589696,188878848,911176,943496
52.475,17.822,29.703,0,0,691589120,65462272,242597888,188891136,717784,884640
60.825,19.588,19.588,0,0,692363264,64688128,242597888,188116992,1210144,1529512
79.747,20.253,0,0,0,693649408,63397888,242601984,186843136,514976,605104
80.220,19.780,0,0,0,693649408,63397888,242601984,186843136,751520,799064
42,17,41,0,0,693645312,63397888,242606080,186847232,864248,845592
56.250,14.583,29.167,0,0,693645312,63397888,242606080,186847232,802304,1043952
65.934,15.385,18.681,0,0,694419456,62623744,242606080,186073088,982168,1168424
73.418,26.582,0,0,0,694419456,62623744,242606080,186085376,583192,705200
67.391,19.565,13.043,0,0,694673408,62365696,242610176,185831424,707000,633968
28.421,15.789,55.789,0,0,694673408,62365696,242610176,185831424,892896,778632
58.824,15.686,25.490,0,0,695705600,61333504,242610176,184799232,850360,1262632
72.093,22.093,5.814,0,0,695713792,61333504,242601984,184803328,877008,1120424
73.864,26.136,0,0,0,692297728,74067968,233275392,187592704,733000,757624
77.895,15.789,6.316,0,0,692297728,74067968,233275392,187592704,725184,804504
42.708,16.667,40.625,0,0,692293632,74067968,233279488,187596800,914392,802064
70.103,16.495,13.402,0,0,692293632,74067968,233279488,187596800,717488,933776
72.727,19.192,8.081,0,0,692822016,73551872,233267200,187080704,1100784,1315792
80.645,19.355,0,0,0,693575680,72781824,233283584,186327040,808216,1028040
77.083,21.875,1.042,0,0,693575680,72781824,233283584,186327040,1110808,1168552
77.500,20,2.500,0,0,694607872,71749632,233283584,185294848,535840,763056
63.158,18.947,17.895,0,0,694603776,71749632,233287680,185298944,1054096,805216
43.750,14.583,41.667,0,0,694616064,71749632,233275392,185298944,597664,760672
56.701,12.371,30.928,0,0,694861824,71491584,233287680,185053184,1111016,1307400
72.632,17.895,9.474,0,0,694857728,71491584,233291776,185057280,678936,840864
86.585,13.415,0,0,0,694857728,71491584,233291776,185057280,571984,587608
44.681,21.277,34.043,0,0,694857728,71491584,233291776,185057280,662824,750176
67.368,20,12.632,0,0,694865920,71491584,233283584,185061376,909184,779560
36.559,19.355,44.086,0,0,694853632,71491584,233295872,185073664,1008552,990232
65.657,15.152,19.192,0,0,695627776,70717440,233295872,184299520,879688,1311608
60.870,17.391,21.739,0,0,695623680,70717440,233299968,184303616,755568,614040
86.207,13.793,0,0,0,696655872,69685248,233299968,183271424,513040,697088
75.269,24.731,0,0,0,696926208,69427200,233287680,183013376,927904,931160
57.895,16.842,25.263,0,0,696909824,69427200,233304064,183029760,764720,768120
63.918,18.557,17.526,0,0,697167872,69169152,233304064,182771712,1101168,1233992
67.021,13.830,19.149,0,0,697942016,68395008,233304064,181997568,766088,891568
51.064,17.021,31.915,0,0,698200064,68136960,233304064,181739520,789944,769376
77.778,22.222,0,0,0,699224064,67104768,233312256,180715520,660632,770704
61.053,18.947,20,0,0,699482112,66846720,233312256,180469760,722656,792872
69.792,15.625,14.583,0,0,699482112,66846720,233312256,180469760,846408,759864
64.286,16.327,19.388,0,0,699478016,66846720,233316352,180473856,894264,910168
70.408,17.347,12.245,0,0,699478016,66846720,233316352,180473856,1061368,1204760
56,20,24,0,0,699478016,66846720,233316352,180473856,783296,935584
65.591,17.204,17.204,0,0,703668224,62652416,233320448,176295936,821136,915600
82.105,17.895,0,0,0,703897600,62423040,233320448,176066560,740976,693992
80,20,0,0,0,703897600,62423040,233320448,176066560,830592,968160
75,16.667,8.333,0,0,704409600,61906944,233324544,175554560,845464,686144
52.525,17.172,30.303,0,0,704409600,61906944,233324544,175554560,885480,929416
47.475,18.182,34.343,0,0,704925696,61390848,233324544,175038464,853312,811528
57.292,14.583,28.125,0,0,704925696,61390848,233324544,175050752,741744,918264
60,20,20,0,0,704921600,61390848,233328640,175054848,923640,1043536
81.522,18.478,0,0,0,703954944,73785344,221900800,175063040,763640,894040
57.292,19.792,22.917,0,0,704204800,73555968,221884416,174891008,753576,824136
61.458,19.792,18.750,0,0,704200704,73555968,221888512,174907392,802248,692912
79.787,20.213,0,0,0,704974848,72781824,221888512,174133248,751080,778984
54.639,15.464,29.897,0,0,705232896,72523776,221888512,173875200,742736,711728
59.184,17.347,23.469,0,0,705486848,72265728,221892608,173621248,985320,1016200
69.149,18.085,12.766,0,0,705486848,72265728,221892608,173621248,825944,973792
65.625,22.917,11.458,0,0,705486848,72265728,221892608,173633536,840848,866728
72.632,14.737,12.632,0,0,705486848,72265728,221892608,173633536,881200,640064
79.787,18.085,2.128,0,0,705740800,72007680,221896704,173379584,916112,1179280
32.292,12.500,55.208,0,0,705740800,72007680,221896704,173379584,783896,726072
82.979,17.021,0,0,0,705740800,72007680,221896704,173379584,725112,804176
80.645,19.355,0,0,0,706007040,71749632,221888512,173121536,1155080,1498960
79.121,12.088,8.791,0,0,705994752,71749632,221900800,173137920,633936,964104
31.915,20.213,47.872,0,0,705994752,71749632,221900800,173137920,874768,711392
77.895,22.105,0,0,0,705990656,71749632,221904896,173142016,836776,742040
82.022,17.978,0,0,0,705990656,71749632,221904896,173142016,623216,651776
38.947,21.053,40,0,0,706002944,71749632,221892608,173142016,713832,757912
48.387,21.505,30.108,0,0,707260416,70475776,221908992,171884544,1074136,990112
58.511,18.085,23.404,0,0,707260416,70475776,221908992,171884544,690616,622096
58.947,16.842,24.211,0,0,707260416,70475776,221908992,171884544,699376,711424
45.833,14.583,39.583,0,0,707260416,70475776,221908992,171884544,749704,800944
49.462,10.753,39.785,0,0,707268608,70475776,221900800,171888640,842784,706768
79.348,17.391,3.261,0,0,708546560,69185536,221913088,170610688,849664,1296960
60.825,13.402,25.773,0,0,708546560,69185536,221913088,170610688,854032,805496
84.043,15.957,0,0,0,708542464,69185536,221917184,170610688,861760,821072
83.158,16.842,0,0,0,708542464,69185536,221917184,170614784,1074976,1343400
81.818,18.182,0,0,0,709328896,68411392,221904896,169840640,671232,860264
84.375,15.625,0,0,0,709312512,68411392,221921280,169857024,874720,776112
78.947,21.053,0,0,0,709570560,68153344,221921280,169598976,959544,723928
82.292,17.708,0,0,0,709570560,68153344,221921280,169598976,932368,1113336
41.837,14.286,43.878,0,0,711368704,66351104,221925376,167800832,807536,847272
52.577,16.495,30.928,0,0,711368704,66351104,221925376,167800832,856552,645752
77.895,16.842,5.263,0,0,711856128,65863680,221925376,167325696,1001976,1302136
