timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778857348064,185,00 getLoginPage,200,OK,Thread Group 1-1,text,true,,9201,463,1,1,http://192.168.27.1/tcexam/public/code/,6,0,1
1778857348064,6,00 getLoginPage-0,301,Moved Permanently,Thread Group 1-1,text,true,,623,302,1,1,http://192.168.27.1/tcexam/public/code,6,0,1
1778857348070,179,00 getLoginPage-1,200,OK,Thread Group 1-1,text,true,,8578,161,1,1,http://192.168.27.1/tcexam/public/code/,178,0,0
1778857349325,254,01 doLogin,200,OK,Thread Group 1-1,text,true,,11781,1165,2,2,http://192.168.27.1/tcexam/public/code/index.php,175,0,0
1778857349325,175,01 doLogin-0,302,Found,Thread Group 1-1,text,true,,964,929,2,2,http://192.168.27.1/tcexam/public/code/index.php,175,0,0
1778857349501,78,01 doLogin-1,200,OK,Thread Group 1-1,text,true,,10817,236,2,2,http://192.168.27.1/tcexam/public/code/index.php,71,0,0
1778857350252,178,00 getLoginPage,200,OK,Thread Group 1-2,text,true,,9201,445,3,3,http://192.168.27.1/tcexam/public/code/,5,0,1
1778857350252,5,00 getLoginPage-0,301,Moved Permanently,Thread Group 1-2,text,true,,623,284,3,3,http://192.168.27.1/tcexam/public/code,5,0,1
1778857350257,173,00 getLoginPage-1,200,OK,Thread Group 1-2,text,true,,8578,161,3,3,http://192.168.27.1/tcexam/public/code/,172,0,0
1778857351023,98,02 getTestID,200,OK,Thread Group 1-1,text,true,,10817,388,3,3,http://192.168.27.1/tcexam/public/code/index.php,91,0,0
1778857351294,176,00 getLoginPage,200,OK,Thread Group 1-3,text,true,,9201,453,4,4,http://192.168.27.1/tcexam/public/code/,6,0,1
1778857351294,6,00 getLoginPage-0,301,Moved Permanently,Thread Group 1-3,text,true,,623,292,4,4,http://192.168.27.1/tcexam/public/code,6,0,1
1778857351300,170,00 getLoginPage-1,200,OK,Thread Group 1-3,text,true,,8578,161,4,4,http://192.168.27.1/tcexam/public/code/,169,0,0
1778857352503,281,01 doLogin,200,OK,Thread Group 1-2,text,true,,11782,1187,4,4,http://192.168.27.1/tcexam/public/code/index.php,192,0,0
1778857352503,192,01 doLogin-0,302,Found,Thread Group 1-2,text,true,,964,951,4,4,http://192.168.27.1/tcexam/public/code/index.php,192,0,0
1778857352695,89,01 doLogin-1,200,OK,Thread Group 1-2,text,true,,10818,236,4,4,http://192.168.27.1/tcexam/public/code/index.php,81,0,0
1778857352843,51,03 showTestInfo,200,OK,Thread Group 1-1,text,true,,9580,403,4,4,http://192.168.27.1/tcexam/public/code/tce_test_start.php?testid=18,44,0,0
1778857353152,164,00 getLoginPage,200,OK,Thread Group 1-4,text,true,,9201,443,5,5,http://192.168.27.1/tcexam/public/code/,4,0,1
1778857353152,4,00 getLoginPage-0,301,Moved Permanently,Thread Group 1-4,text,true,,623,282,5,5,http://192.168.27.1/tcexam/public/code,4,0,1
1778857353156,160,00 getLoginPage-1,200,OK,Thread Group 1-4,text,true,,8578,161,5,5,http://192.168.27.1/tcexam/public/code/,160,0,0
1778857353608,265,01 doLogin,200,OK,Thread Group 1-3,text,true,,11783,1153,5,5,http://192.168.27.1/tcexam/public/code/index.php,180,0,0
1778857353608,180,01 doLogin-0,302,Found,Thread Group 1-3,text,true,,964,917,5,5,http://192.168.27.1/tcexam/public/code/index.php,180,0,0
1778857353788,85,01 doLogin-1,200,OK,Thread Group 1-3,text,true,,10819,236,5,5,http://192.168.27.1/tcexam/public/code/index.php,79,0,0
1778857354179,286,04 execTest,200,OK,Thread Group 1-1,text,true,,12889,407,6,6,http://192.168.27.1/tcexam/public/code/tce_test_execute.php?testid=18,210,0,0
