timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,Latency
1777262790913,164,0. Open Login,200,OK,Thread Group 1-1,true,155
1777262791078,220,1. Login TCExam,200,OK,Thread Group 1-1,true,172
1777262791298,288,2. Soal Bergambar,200,OK,Thread Group 1-1,true,211
1777262791586,46,0. Open Login,200,OK,Thread Group 1-1,true,46
1777262791632,217,1. Login TCExam,200,OK,Thread Group 1-1,true,174
1777262791849,283,2. Soal Bergambar,200,OK,Thread Group 1-1,true,209
1777262792131,53,0. Open Login,200,OK,Thread Group 1-1,true,53
1777262792184,198,1. Login TCExam,200,OK,Thread Group 1-1,true,159
1777262792383,283,2. Soal Bergambar,200,OK,Thread Group 1-1,true,211
1777262792666,43,0. Open Login,200,OK,Thread Group 1-1,true,43
1777262792710,208,1. Login TCExam,200,OK,Thread Group 1-1,true,163
1777262792918,255,2. Soal Bergambar,200,OK,Thread Group 1-1,true,192
1777262793173,39,0. Open Login,200,OK,Thread Group 1-1,true,39
1777262793212,197,1. Login TCExam,200,OK,Thread Group 1-1,true,153
1777262793409,266,2. Soal Bergambar,200,OK,Thread Group 1-1,true,192
1777262793675,48,0. Open Login,200,OK,Thread Group 1-1,true,48
1777262793724,214,1. Login TCExam,200,OK,Thread Group 1-1,true,171
1777262793939,262,2. Soal Bergambar,200,OK,Thread Group 1-1,true,198
1777262794201,38,0. Open Login,200,OK,Thread Group 1-1,true,38
1777262794239,211,1. Login TCExam,200,OK,Thread Group 1-1,true,168
1777262794450,252,2. Soal Bergambar,200,OK,Thread Group 1-1,true,180
1777262794703,38,0. Open Login,200,OK,Thread Group 1-1,true,38
1777262794741,209,1. Login TCExam,200,OK,Thread Group 1-1,true,165
1777262794950,273,2. Soal Bergambar,200,OK,Thread Group 1-1,true,202
1777262795223,39,0. Open Login,200,OK,Thread Group 1-1,true,39
1777262795262,208,1. Login TCExam,200,OK,Thread Group 1-1,true,169
1777262795470,272,2. Soal Bergambar,200,OK,Thread Group 1-1,true,201
1777262795742,42,0. Open Login,200,OK,Thread Group 1-1,true,42
1777262795784,207,1. Login TCExam,200,OK,Thread Group 1-1,true,170
1777262795991,268,2. Soal Bergambar,200,OK,Thread Group 1-1,true,195
1777262796259,40,0. Open Login,200,OK,Thread Group 1-1,true,40
1777262796299,207,1. Login TCExam,200,OK,Thread Group 1-1,true,171
1777262796506,248,2. Soal Bergambar,200,OK,Thread Group 1-1,true,178
1777262796755,38,0. Open Login,200,OK,Thread Group 1-1,true,38
1777262796794,212,1. Login TCExam,200,OK,Thread Group 1-1,true,172
1777262797006,266,2. Soal Bergambar,200,OK,Thread Group 1-1,true,194
1777262797273,42,0. Open Login,200,OK,Thread Group 1-1,true,42
1777262797315,213,1. Login TCExam,200,OK,Thread Group 1-1,true,172
1777262797529,271,2. Soal Bergambar,200,OK,Thread Group 1-1,true,197
1777262797801,46,0. Open Login,200,OK,Thread Group 1-1,true,46
1777262797847,207,1. Login TCExam,200,OK,Thread Group 1-1,true,166
1777262798054,273,2. Soal Bergambar,200,OK,Thread Group 1-1,true,197
1777262798327,42,0. Open Login,200,OK,Thread Group 1-1,true,42
1777262798369,210,1. Login TCExam,200,OK,Thread Group 1-1,true,170
1777262798580,261,2. Soal Bergambar,200,OK,Thread Group 1-1,true,189
1777262798841,38,0. Open Login,200,OK,Thread Group 1-1,true,38
1777262798879,205,1. Login TCExam,200,OK,Thread Group 1-1,true,167
1777262799084,262,2. Soal Bergambar,200,OK,Thread Group 1-1,true,191
1777262799347,40,0. Open Login,200,OK,Thread Group 1-1,true,40
1777262799387,199,1. Login TCExam,200,OK,Thread Group 1-1,true,164
1777262799586,256,2. Soal Bergambar,200,OK,Thread Group 1-1,true,184
1777262799843,39,0. Open Login,200,OK,Thread Group 1-1,true,39
1777262799883,202,1. Login TCExam,200,OK,Thread Group 1-1,true,165
1777262800085,267,2. Soal Bergambar,200,OK,Thread Group 1-1,true,192
1777262800352,39,0. Open Login,200,OK,Thread Group 1-1,true,39
1777262800391,206,1. Login TCExam,200,OK,Thread Group 1-1,true,166
1777262800597,261,2. Soal Bergambar,200,OK,Thread Group 1-1,true,189
1777262800859,40,0. Open Login,200,OK,Thread Group 1-1,true,40
1777262800899,204,1. Login TCExam,200,OK,Thread Group 1-1,true,167
1777262801103,261,2. Soal Bergambar,200,OK,Thread Group 1-1,true,189
1777262801364,39,0. Open Login,200,OK,Thread Group 1-1,true,39
1777262801404,199,1. Login TCExam,200,OK,Thread Group 1-1,true,163
1777262801603,255,2. Soal Bergambar,200,OK,Thread Group 1-1,true,181
1777262801858,40,0. Open Login,200,OK,Thread Group 1-1,true,40
1777262801898,210,1. Login TCExam,200,OK,Thread Group 1-1,true,172
1777262802108,260,2. Soal Bergambar,200,OK,Thread Group 1-1,true,186
1777262802369,42,0. Open Login,200,OK,Thread Group 1-1,true,42
1777262802412,208,1. Login TCExam,200,OK,Thread Group 1-1,true,172
1777262802620,251,2. Soal Bergambar,200,OK,Thread Group 1-1,true,180
1777262802872,39,0. Open Login,200,OK,Thread Group 1-1,true,39
1777262802910,183,0. Open Login,200,OK,Thread Group 1-2,true,175
1777262802911,247,1. Login TCExam,200,OK,Thread Group 1-1,true,191
1777262803093,260,1. Login TCExam,200,OK,Thread Group 1-2,true,199
1777262803158,317,2. Soal Bergambar,200,OK,Thread Group 1-1,true,240
1777262803475,64,0. Open Login,200,OK,Thread Group 1-1,true,64
1777262803353,327,2. Soal Bergambar,200,OK,Thread Group 1-2,true,248
1777262803680,39,0. Open Login,200,OK,Thread Group 1-2,true,39
1777262803539,240,1. Login TCExam,200,OK,Thread Group 1-1,true,192
1777262803719,264,1. Login TCExam,200,OK,Thread Group 1-2,true,199
1777262803779,310,2. Soal Bergambar,200,OK,Thread Group 1-1,true,236
1777262804090,67,0. Open Login,200,OK,Thread Group 1-1,true,67
1777262803983,320,2. Soal Bergambar,200,OK,Thread Group 1-2,true,247
1777262804304,45,0. Open Login,200,OK,Thread Group 1-2,true,45
1777262804157,265,1. Login TCExam,200,OK,Thread Group 1-1,true,203
1777262804350,268,1. Login TCExam,200,OK,Thread Group 1-2,true,205
1777262804423,297,2. Soal Bergambar,200,OK,Thread Group 1-1,true,225
1777262804721,70,0. Open Login,200,OK,Thread Group 1-1,true,70
1777262804618,323,2. Soal Bergambar,200,OK,Thread Group 1-2,true,245
1777262804941,44,0. Open Login,200,OK,Thread Group 1-2,true,44
1777262804792,257,1. Login TCExam,200,OK,Thread Group 1-1,true,205
1777262804985,250,1. Login TCExam,200,OK,Thread Group 1-2,true,185
1777262805050,302,2. Soal Bergambar,200,OK,Thread Group 1-1,true,222
1777262805353,58,0. Open Login,200,OK,Thread Group 1-1,true,58
1777262805235,348,2. Soal Bergambar,200,OK,Thread Group 1-2,true,268
1777262805411,238,1. Login TCExam,200,OK,Thread Group 1-1,true,180
