"dool 1.3.6 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","webserver2",,,,"User:","pascal"
"Cmdline:","./dool -c -m -n --output RR_100T_1200R_1800D_2vCPU_ws2.csv",,,,"Date:","27 Apr 2026 11:06:29 WIB"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","cach","avai","recv","send"
26.239,3.797,69.848,0.116,0,648843264,168603648,181735424,230244352,0,0
0,0,100,0,0,648777728,168603648,181800960,230236160,1600,1536
0,0,100,0,0,648777728,168603648,181800960,230236160,0,0
0,0,100,0,0,648777728,168603648,181800960,230236160,1120,592
0,0,100,0,0,648777728,168603648,181800960,230236160,0,0
0.513,0,99.487,0,0,648777728,168603648,181800960,230236160,4624,1072
0.513,0,99.487,0,0,648777728,168603648,181800960,230236160,3504,480
0,0,100,0,0,648777728,168603648,181800960,230248448,1120,592
0,0,100,0,0,648777728,168603648,181800960,230248448,3024,0
0,0,100,0,0,648777728,168603648,181800960,230248448,1120,592
0,0.513,99.487,0,0,648777728,168603648,181800960,230248448,0,0
0,0,99.487,0.513,0,648777728,168603648,181800960,230248448,1120,592
0,0,100,0,0,648777728,168603648,181800960,230248448,3024,0
0,0,100,0,0,648777728,168603648,181800960,230248448,1120,592
20,0.513,79.487,0,0,648777728,168603648,181800960,230248448,213784,251168
27.320,3.093,69.588,0,0,648777728,168603648,181800960,230256640,589424,719544
21.622,3.784,74.595,0,0,648806400,168603648,181805056,230240256,555600,621312
21.023,5.682,73.295,0,0,648806400,168603648,181805056,230252544,555672,652144
25.263,3.684,71.053,0,0,648806400,168603648,181805056,230252544,648928,757968
20.879,4.396,74.725,0,0,648806400,168603648,181805056,230252544,459560,532072
23.196,5.670,71.134,0,0,648806400,168603648,181805056,230252544,657120,774696
28.796,2.094,69.110,0,0,648802304,168603648,181809152,230256640,582344,595440
24.339,4.233,71.429,0,0,648802304,168603648,181809152,230264832,597176,730704
23.037,5.759,71.204,0,0,648802304,168603648,181809152,230264832,659912,762952
26.344,3.763,69.892,0,0,648802304,168603648,181809152,230264832,494856,557176
29,3,68,0,0,648798208,168603648,181813248,230264832,636256,760784
27.979,2.073,69.948,0,0,648798208,168603648,181813248,230264832,489648,530992
21.608,2.513,75.377,0.503,0,648798208,168603648,181813248,230277120,457448,496776
20.812,3.046,76.142,0,0,648798208,168603648,181813248,230277120,504008,621184
21.875,2.604,75.521,0,0,648798208,168603648,181813248,230277120,418904,493656
28.718,1.538,69.744,0,0,648794112,168603648,181817344,230281216,467176,508576
14.894,4.255,80.851,0,0,648794112,168603648,181817344,230281216,494400,564840
19.792,5.208,75,0,0,648794112,168603648,181817344,230289408,494696,600736
26.020,2.041,71.939,0,0,648794112,168603648,181817344,230289408,422184,464144
21.939,3.061,75,0,0,648794112,168603648,181817344,230289408,510112,552240
23.316,1.036,75.648,0,0,648790016,168603648,181821440,230293504,511000,629520
25,1.531,73.469,0,0,648790016,168603648,181821440,230293504,451016,510296
24.868,1.058,74.074,0,0,648798208,168603648,181813248,230293504,383944,449968
32.597,3.867,63.536,0,0,648790016,168603648,181821440,230301696,590664,669328
29.630,7.407,62.963,0,0,648785920,168603648,181825536,230305792,758384,877968
27.222,5.556,67.222,0,0,648785920,168603648,181825536,230305792,698472,820400
29.282,6.630,64.088,0,0,648785920,168603648,181825536,230305792,840040,914248
31.746,5.291,62.963,0,0,648785920,168603648,181825536,230305792,765360,881168
29.121,4.945,65.934,0,0,648781824,168603648,181829632,230318080,692496,811664
34.197,3.627,62.176,0,0,648781824,168603648,181829632,230318080,730928,874904
31.414,6.806,61.780,0,0,648781824,168603648,181829632,230318080,746072,874008
30.851,6.383,62.766,0,0,648777728,168603648,181833728,230322176,838496,905680
33.708,4.494,61.798,0,0,648777728,168603648,181833728,230322176,773176,950224
33.333,4.103,62.051,0.513,0,648777728,168603648,181833728,230330368,718776,841464
33.871,3.763,62.366,0,0,648773632,168603648,181837824,230334464,819224,927800
20.904,4.520,74.576,0,0,648773632,168603648,181837824,230334464,606168,657544
20.349,5.233,74.419,0,0,648769536,168603648,181841920,230338560,563240,692880
20.115,5.747,74.138,0,0,648769536,168603648,181841920,230338560,626800,752240
14.674,4.348,80.978,0,0,649027584,168345600,181841920,230088704,653704,780544
15.789,4.094,80.117,0,0,649023488,168345600,181846016,230092800,635536,700672
15.663,3.614,80.723,0,0,649023488,168345600,181846016,230092800,486008,487168
19.048,5.952,75,0,0,649023488,168345600,181846016,230092800,653296,729032
25.843,3.933,70.225,0,0,649019392,168345600,181850112,230096896,591280,754040
19.786,3.743,76.471,0,0,649027584,168345600,181841920,230096896,641312,752960
21.311,5.464,73.224,0,0,649019392,168345600,181850112,230105088,666096,796896
15.116,2.907,81.977,0,0,649019392,168345600,181850112,230105088,493280,490984
23.429,5.143,71.429,0,0,649015296,168345600,181854208,230109184,644344,732248
39.773,4.545,55.682,0,0,649015296,168345600,181854208,230109184,611080,787632
24.870,5.181,69.948,0,0,649023488,168345600,181846016,230109184,863744,1065384
29.775,3.371,66.854,0,0,649011200,168345600,181858304,230121472,647648,645024
41.530,5.464,53.005,0,0,649011200,168345600,181858304,230121472,761088,902192
24.870,5.181,69.948,0,0,649011200,168345600,181858304,230121472,837184,1032016
32.632,5.263,62.105,0,0,649007104,168345600,181862400,230125568,721720,765672
38.503,6.952,54.545,0,0,649015296,168345600,181854208,230125568,739480,867216
