timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,Latency
1777035624238,448,0. Open Login,200,OK,Thread Group 1-1,true,441
1777035624737,204,1. Login TCExam,200,OK,Thread Group 1-1,true,169
1777035624942,245,2. Soal Bergambar,200,OK,Thread Group 1-1,true,179
1777035625192,38,0. Open Login,200,OK,Thread Group 1-1,true,38
1777035625231,201,1. Login TCExam,200,OK,Thread Group 1-1,true,164
1777035625432,253,2. Soal Bergambar,200,OK,Thread Group 1-1,true,174
1777035625686,41,0. Open Login,200,OK,Thread Group 1-1,true,41
1777035625728,204,1. Login TCExam,200,OK,Thread Group 1-1,true,161
1777035625933,244,2. Soal Bergambar,200,OK,Thread Group 1-1,true,166
1777035626179,39,0. Open Login,200,OK,Thread Group 1-1,true,39
1777035626219,189,1. Login TCExam,200,OK,Thread Group 1-1,true,151
1777035626409,222,2. Soal Bergambar,200,OK,Thread Group 1-1,true,152
1777035626632,37,0. Open Login,200,OK,Thread Group 1-1,true,37
1777035626670,196,1. Login TCExam,200,OK,Thread Group 1-1,true,160
1777035626866,257,2. Soal Bergambar,200,OK,Thread Group 1-1,true,180
1777035627124,47,0. Open Login,200,OK,Thread Group 1-1,true,47
1777035627172,205,1. Login TCExam,200,OK,Thread Group 1-1,true,172
1777035627378,246,2. Soal Bergambar,200,OK,Thread Group 1-1,true,174
1777035627625,38,0. Open Login,200,OK,Thread Group 1-1,true,38
1777035627665,208,1. Login TCExam,200,OK,Thread Group 1-1,true,171
1777035627873,225,2. Soal Bergambar,200,OK,Thread Group 1-1,true,161
1777035628099,35,0. Open Login,200,OK,Thread Group 1-1,true,35
1777035628136,179,1. Login TCExam,200,OK,Thread Group 1-1,true,150
1777035628316,264,2. Soal Bergambar,200,OK,Thread Group 1-1,true,183
1777035628581,45,0. Open Login,200,OK,Thread Group 1-1,true,45
1777035628627,211,1. Login TCExam,200,OK,Thread Group 1-1,true,176
1777035628838,275,2. Soal Bergambar,200,OK,Thread Group 1-1,true,192
1777035629115,39,0. Open Login,200,OK,Thread Group 1-1,true,39
1777035629155,192,1. Login TCExam,200,OK,Thread Group 1-1,true,161
1777035629347,235,2. Soal Bergambar,200,OK,Thread Group 1-1,true,169
1777035629583,39,0. Open Login,200,OK,Thread Group 1-1,true,39
1777035629623,183,1. Login TCExam,200,OK,Thread Group 1-1,true,152
1777035629807,248,2. Soal Bergambar,200,OK,Thread Group 1-1,true,172
1777035630056,42,0. Open Login,200,OK,Thread Group 1-1,true,42
1777035630099,207,1. Login TCExam,200,OK,Thread Group 1-1,true,174
1777035630307,245,2. Soal Bergambar,200,OK,Thread Group 1-1,true,173
1777035630553,36,0. Open Login,200,OK,Thread Group 1-1,true,36
1777035630590,196,1. Login TCExam,200,OK,Thread Group 1-1,true,158
1777035630786,241,2. Soal Bergambar,200,OK,Thread Group 1-1,true,171
1777035631028,43,0. Open Login,200,OK,Thread Group 1-1,true,43
1777035631072,186,1. Login TCExam,200,OK,Thread Group 1-1,true,151
1777035631259,235,2. Soal Bergambar,200,OK,Thread Group 1-1,true,161
1777035631495,41,0. Open Login,200,OK,Thread Group 1-1,true,41
1777035631537,212,1. Login TCExam,200,OK,Thread Group 1-1,true,176
1777035631750,248,2. Soal Bergambar,200,OK,Thread Group 1-1,true,178
1777035631998,38,0. Open Login,200,OK,Thread Group 1-1,true,38
1777035632037,193,1. Login TCExam,200,OK,Thread Group 1-1,true,157
