"dool 1.3.6 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","webserver1",,,,"User:","pascal"
"Cmdline:","./dool -c -m -n --output RR_100T_1200R_1800D_ws1.csv",,,,"Date:","24 Apr 2026 20:00:24 WIB"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","cach","avai","recv","send"
0.898,2.076,96.973,0.053,0,649924608,87236608,262885376,232714240,0,0
1.031,0,98.969,0,0,649895936,87236608,262889472,232747008,6016,944
0,0,100,0,0,649895936,87236608,262889472,232747008,8192,592
8.046,13.793,74.713,3.448,0,649179136,82878464,267964416,233181184,33200,103904
38.750,22.500,38.750,0,0,651423744,79523840,269058048,230703104,698944,816368
43.373,19.277,37.349,0,0,655765504,75165696,269074432,226361344,810024,903584
42.857,21.429,35.714,0,0,657055744,73875456,269074432,225071104,745400,852024
43.750,21.250,35,0,0,658857984,72069120,269078528,223277056,734856,850888
44.048,20.238,35.714,0,0,659345408,71581696,269078528,222789632,735552,849040
45.783,19.277,34.940,0,0,659329024,71581696,269094912,222806016,741672,853832
44.048,21.429,34.524,0,0,660615168,70291456,269099008,221519872,736784,851584
42.169,20.482,37.349,0,0,659644416,71262208,269099008,222490624,783312,914456
41.176,23.529,35.294,0,0,659611648,71294976,269099008,222531584,801136,879152
42.169,21.687,36.145,0,0,659869696,71036928,269099008,222273536,772568,903464
44.706,20,35.294,0,0,659832832,71069696,269103104,222310400,789200,908864
38.095,22.619,39.286,0,0,659832832,71069696,269103104,222310400,712272,800992
36.364,20.455,43.182,0,0,659767296,71135232,269103104,222375936,580288,694792
32.955,15.909,50,1.136,0,659763200,71135232,269107200,222380032,671024,801472
37.647,17.647,44.706,0,0,659763200,71135232,269107200,222388224,629256,675272
40.698,19.767,39.535,0,0,659763200,71135232,269107200,222388224,660424,743280
36.782,16.092,47.126,0,0,659763200,71135232,269107200,222388224,618448,755664
40.698,16.279,43.023,0,0,659759104,71135232,269111296,222392320,678440,804456
33.721,19.767,46.512,0,0,659767296,71135232,269103104,222392320,638072,689592
39.024,18.293,42.683,0,0,659759104,71135232,269111296,222400512,583520,682800
36.905,14.286,48.810,0,0,659759104,71135232,269111296,222400512,688608,802304
42.353,12.941,44.706,0,0,659755008,71135232,269115392,222404608,680272,808360
35.227,20.455,44.318,0,0,659755008,71135232,269115392,222404608,598136,643016
60.465,17.442,22.093,0,0,660021248,70877184,269107200,222146560,635888,800984
51.163,25.581,23.256,0,0,660008960,70877184,269119488,222158848,741712,858368
46.667,21.111,32.222,0,0,660008960,70877184,269119488,222158848,831168,933624
71.739,16.304,11.957,0,0,660267008,70619136,269119488,221900800,849024,975720
61.798,21.348,16.854,0,0,660520960,70361088,269123584,221646848,888208,1042304
56.044,24.176,19.780,0,0,661561344,69328896,269115392,220614656,848984,949992
56.989,23.656,19.355,0,0,662069248,68812800,269123584,220106752,937424,1108152
57.955,23.864,18.182,0,0,663326720,67551232,269127680,218849280,754248,895976
65.169,19.101,15.730,0,0,663326720,67551232,269127680,218849280,853088,959920
60.227,18.182,21.591,0,0,663326720,67551232,269127680,218849280,858872,937432
56.818,26.136,17.045,0,0,663588864,67293184,269123584,218595328,924544,1102024
50.562,26.966,22.472,0,0,663580672,67293184,269131776,218603520,862800,965920
57.447,21.277,21.277,0,0,663580672,67293184,269131776,218603520,897152,1003088
52.874,16.092,31.034,0,0,663834624,67035136,269135872,218349568,721816,928144
47.126,20.690,32.184,0,0,663834624,67035136,269135872,218349568,723488,826184
51.765,15.294,32.941,0,0,663842816,67035136,269127680,218349568,721912,847032
53.846,15.385,30.769,0,0,663830528,67035136,269139968,218361856,634528,725192
51.685,17.978,30.337,0,0,664088576,66777088,269139968,218103808,764968,849704
54.651,16.279,29.070,0,0,664088576,66777088,269139968,218103808,777784,855904
52.174,20.652,27.174,0,0,664084480,66777088,269144064,218107904,717352,818360
52.747,16.484,30.769,0,0,664084480,66777088,269144064,218107904,724568,814600
57.609,18.478,23.913,0,0,664084480,66777088,269144064,218116096,742000,858456
47.253,21.978,30.769,0,0,664080384,66777088,269148160,218120192,716328,830096
59.574,13.830,26.596,0,0,664076288,66777088,269152256,218124288,781832,912664
64.368,17.241,18.391,0,0,664076288,66777088,269152256,218124288,627568,808944
65.591,18.280,16.129,0,0,664076288,66777088,269152256,218124288,932136,1014480
57.143,17.857,25,0,0,664072192,66777088,269156352,218136576,694400,839392
57.303,20.225,22.472,0,0,664072192,66777088,269156352,218136576,899968,1054928
56.180,15.730,28.090,0,0,664072192,66777088,269156352,218136576,836944,956288
57.955,27.273,14.773,0,0,665100288,65744896,269160448,217108480,731840,757216
63.333,17.778,18.889,0,0,666132480,64712704,269160448,216076288,790592,996208
59.551,11.236,29.213,0,0,666132480,64712704,269160448,216084480,875440,1035600
68.132,19.780,12.088,0,0,666128384,64712704,269164544,216088576,840664,881176
66.292,21.348,12.360,0,0,666427392,64413696,269164544,215789568,814800,1011872
54.737,16.842,28.421,0,0,666841088,64000000,269164544,215375872,978512,1136384
54.762,19.048,26.190,0,0,667045888,63791104,269168640,215171072,658104,653984
71.111,21.111,7.778,0,0,667185152,63651840,269168640,215040000,800224,982048
48.889,14.444,36.667,0,0,667320320,63516672,269168640,214904832,835576,915808
65.517,20.690,13.793,0,0,667484160,63348736,269172736,214740992,742008,866040
43.956,23.077,32.967,0,0,667627520,63205376,269172736,214597632,778528,983720
64.211,15.789,20,0,0,667725824,63107072,269172736,214499328,754616,811768
67.470,18.072,14.458,0,0,667897856,62930944,269176832,214327296,760136,925816
37.895,16.842,45.263,0,0,668028928,62799872,269176832,214204416,856432,1011232
47.059,21.176,31.765,0,0,668028928,62799872,269176832,214204416,628072,586760
51.111,20,28.889,0,0,668061696,62767104,269176832,214171648,763272,983032
55.435,17.391,27.174,0,0,668168192,62656512,269180928,214065152,689248,768128
66.304,20.652,13.043,0,0,668254208,62570496,269180928,213979136,863160,988864
55.670,16.495,27.835,0,0,668352512,62468096,269185024,213889024,892912,1067456
65.556,23.333,11.111,0,0,668352512,62468096,269185024,213889024,711384,827680
72.527,17.582,9.890,0,0,668385280,62435328,269185024,213856256,874008,1005128
67.033,23.077,9.890,0,0,668393472,62427136,269185024,213848064,914016,1051544
64.211,20,15.789,0,0,668442624,62382080,269180928,213807104,880472,943144
68.966,16.092,14.943,0,0,668504064,62312448,269189120,213745664,772720,1002720
