"dool 1.3.6 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","webserver1",,,,"User:","pascal"
"Cmdline:","./dool -c -m -n --output RR_100T_400R_ws1.csv",,,,"Date:","22 Apr 2026 09:49:49 WIB"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","cach","avai","recv","send"
0.311,0.502,99.167,0.021,0,670609408,70987776,257916928,210575360,0,0
0,1.064,98.936,0,0,668930048,73842688,256724992,212275200,480,944
1.042,0,98.958,0,0,668930048,73842688,256724992,212275200,4144,592
0,0,100,0,0,668930048,73842688,256724992,212275200,0,0
0,0,100,0,0,668930048,73842688,256724992,212275200,1120,592
0,0,100,0,0,668930048,73842688,256724992,212275200,480,480
0,0,100,0,0,668930048,73842688,256724992,212283392,1120,592
0,0,100,0,0,668930048,73842688,256724992,212283392,0,0
0,0,100,0,0,668930048,73842688,256724992,212283392,1120,592
0,0,100,0,0,668930048,73842688,256724992,212283392,0,0
0,0,100,0,0,668930048,73842688,256724992,212283392,4144,592
0,0,100,0,0,668930048,73842688,256724992,212283392,3024,0
0,0,100,0,0,668930048,73842688,256724992,212291584,1120,592
0,0,100,0,0,668930048,73842688,256724992,212291584,3024,0
0,0,100,0,0,668930048,73842688,256724992,212291584,1120,592
0,0,100,0,0,668930048,73842688,256724992,212291584,0,0
0,0,98.958,1.042,0,668930048,73842688,256724992,212291584,1120,592
0,0,100,0,0,668930048,73842688,256724992,212291584,3504,480
0,1.053,98.947,0,0,668930048,73842688,256724992,212299776,1120,592
0,0,100,0,0,668930048,73842688,256724992,212299776,0,0
1.042,0,98.958,0,0,668930048,73842688,256724992,212299776,1120,592
0,0,100,0,0,668930048,73842688,256724992,212299776,0,0
0,0,100,0,0,668930048,73842688,256724992,212299776,1120,592
0,0,100,0,0,668930048,73842688,256724992,212307968,960,1888
1.042,0,98.958,0,0,668930048,73842688,256724992,212307968,1120,592
0,0,100,0,0,668930048,73842688,256724992,212307968,3024,0
0,0,100,0,0,668930048,73842688,256724992,212307968,4144,592
30.952,9.524,59.524,0,0,670388224,72323072,256770048,210808832,357904,465816
42.857,15.476,41.667,0,0,671395840,71290880,256794624,209809408,482904,550848
33.721,17.442,48.837,0,0,671883264,70803456,256794624,209321984,645616,782840
33.750,18.750,47.500,0,0,672911360,69771264,256798720,208293888,591208,609624
37.079,12.360,50.562,0,0,673140736,69541888,256798720,208072704,577456,719808
37.931,12.644,49.425,0,0,673140736,69541888,256798720,208072704,407272,463448
30.337,13.483,56.180,0,0,673140736,69541888,256798720,208072704,567408,641720
38.636,17.045,44.318,0,0,673366016,69312512,256802816,207843328,540008,629832
63.218,12.644,24.138,0,0,673624064,69054464,256802816,207589376,539096,636392
56.818,18.182,25,0,0,673607680,69054464,256819200,207613952,758008,875368
58.140,17.442,24.419,0,0,673865728,68796416,256819200,207355904,768576,891688
65.556,20,14.444,0,0,673861632,68796416,256823296,207360000,711152,842960
58.621,14.943,26.437,0,0,674091008,68567040,256823296,207130624,715448,832768
40.860,16.129,43.011,0,0,674091008,68567040,256823296,207130624,669016,782472
54.348,22.826,22.826,0,0,674091008,68567040,256823296,207138816,722216,864624
52.273,20.455,27.273,0,0,674086912,68567040,256827392,207142912,697672,808384
62.366,15.054,22.581,0,0,674086912,68567040,256827392,207142912,645480,753360
72.340,15.957,11.702,0,0,674086912,68567040,256827392,207142912,815096,950192
60,20,20,0,0,674340864,68308992,256831488,206888960,795232,955736
61.111,15.556,23.333,0,0,674607104,68050944,256823296,206630912,707880,741584
62.766,17.021,20.213,0,0,675368960,67280896,256831488,205869056,791928,938120
64.835,21.978,13.187,0,0,675602432,67022848,256856064,205635584,754256,826712
38.636,13.636,47.727,0,0,675602432,67022848,256856064,205635584,639536,826088
69.663,17.978,12.360,0,0,676634624,65990656,256856064,204603392,763216,839904
66.667,15.054,18.280,0,0,676642816,65990656,256847872,204603392,816208,1053200
77.907,20.930,1.163,0,0,676630528,65990656,256860160,204615680,655232,752256
45.161,15.054,39.785,0,0,676888576,65732608,256860160,204357632,765432,844400
71.111,17.778,11.111,0,0,676888576,65732608,256860160,204357632,820824,993168
59.524,14.286,26.190,0,0,676880384,65732608,256868352,204361728,620448,597760
37.079,15.730,47.191,0,0,677146624,65474560,256860160,204107776,746200,1080920
58.974,20.513,20.513,0,0,677138432,65474560,256868352,204115968,426528,412096
19,16,65,0,0,677134336,65474560,256872448,204120064,704800,717800
75.862,16.092,8.046,0,0,677134336,65474560,256872448,204120064,736720,978744
65.517,21.839,12.644,0,0,677392384,65216512,256872448,203862016,673424,693376
37.234,13.830,48.936,0,0,678166528,64442368,256872448,203087872,841784,959384
78.571,16.667,4.762,0,0,678162432,64442368,256876544,203100160,660144,858552
66.304,17.391,16.304,0,0,679452672,63152128,256876544,201809920,845480,817936
52.128,18.085,29.787,0,0,680226816,62377984,256876544,201035776,750000,988056
75.556,21.111,3.333,0,0,680480768,62119936,256880640,200781824,764728,888952
80.208,16.667,3.125,0,0,680480768,62119936,256880640,200781824,1132952,1309904
75.294,24.706,0,0,0,675958784,75808768,247705600,204722176,534016,652016
73.034,14.607,12.360,0,0,675954688,75808768,247709696,204726272,827344,839640
60.674,16.854,22.472,0,0,676212736,75550720,247709696,204468224,1091024,1431040
84.337,15.663,0,0,0,676442112,75321344,247709696,204238848,508928,601088
56.522,21.739,21.739,0,0,676438016,75321344,247713792,204242944,726000,668952
32.584,13.483,53.933,0,0,677212160,74551296,247709696,203472896,832136,1077832
70.588,20,9.412,0,0,677208064,74551296,247713792,203481088,746960,888376
56.250,16.250,27.500,0,0,677203968,74551296,247717888,203481088,554344,512824
43.878,18.367,37.755,0,0,678494208,73261056,247717888,202194944,840192,1074464
73.913,21.739,4.348,0,0,678494208,73261056,247717888,202194944,904568,1111352
82.051,17.949,0,0,0,679276544,72486912,247709696,201420800,474600,548848
43.158,18.947,37.895,0,0,679264256,72486912,247721984,201433088,857008,770024
24.468,14.894,60.638,0,0,679264256,72486912,247721984,201433088,838736,1081064
75,22.826,2.174,0,0,680554496,71196672,247721984,200142848,905760,1100664
79.762,20.238,0,0,0,680546304,71200768,247726080,200146944,484104,598656
43.617,18.085,38.298,0,0,680554496,71200768,247717888,200151040,934304,867040
54.945,16.484,28.571,0,0,680546304,71200768,247726080,200159232,911048,1229072
82.222,17.778,0,0,0,680800256,70942720,247730176,199901184,703968,861464
83.529,16.471,0,0,0,681058304,70684672,247730176,199655424,589864,635648
50.538,18.280,31.183,0,0,681058304,70684672,247730176,199655424,995200,954040
30.612,19.388,50,0,0,681832448,69910528,247730176,198881280,853336,1062488
82.418,17.582,0,0,0,683118592,68620288,247734272,197607424,798872,1022816
79.545,20.455,0,0,0,683118592,68620288,247734272,197607424,722952,816936
53.261,23.913,22.826,0,0,683114496,68620288,247738368,197607424,824048,820184
75.789,16.842,7.368,0,0,683360256,68374528,247738368,197365760,880576,1119512
70.330,16.484,13.187,0,0,683601920,68116480,247738368,197115904,926976,1063728
63.542,20.833,15.625,0,0,683597824,68116480,247742464,197128192,736416,722664
81.319,18.681,0,0,0,684630016,67084288,247742464,196100096,881072,1115784
53.763,24.731,21.505,0,0,684630016,67084288,247742464,196100096,823456,763000
72.727,19.192,8.081,0,0,685891584,65822720,247742464,194838528,1008552,1224072
67.778,15.556,16.667,0,0,685887488,65822720,247746560,194842624,784728,895424
82.979,17.021,0,0,0,686145536,65564672,247746560,194584576,675792,791232
56.842,18.947,24.211,0,0,686915584,64790528,247750656,193822720,876056,842336
60.606,17.172,22.222,0,0,687173632,64532480,247750656,193568768,933160,1167016
77.907,22.093,0,0,0,687173632,64532480,247750656,193568768,832552,1114248
67.021,22.340,10.638,0,0,688205824,63500288,247750656,192536576,711848,647784
82.222,12.222,5.556,0,0,688459776,63242240,247754752,192282624,816264,824536
33.673,15.306,51.020,0,0,688459776,63242240,247754752,192294912,840448,823240
65.306,21.429,13.265,0,0,688459776,63242240,247754752,192294912,926488,1145832
70.526,12.632,16.842,0,0,688713728,62984192,247758848,192040960,908784,1061960
78.824,21.176,0,0,0,688713728,62984192,247758848,192040960,787968,997544
80.460,19.540,0,0,0,688721920,62984192,247750656,192045056,595032,628880
84.615,15.385,0,0,0,688705536,62984192,247767040,192061440,588520,534400
32.632,17.895,49.474,0,0,688705536,62984192,247767040,192061440,899888,764912
40,18,42,0,0,688705536,62984192,247767040,192061440,887632,1134120
78.351,15.464,6.186,0,0,688705536,62984192,247767040,192061440,1023440,1246728
82.292,17.708,0,0,0,688713728,62984192,247758848,192065536,993688,1165320
82.051,17.949,0,0,0,688701440,62984192,247771136,192077824,462600,540816
84.444,15.556,0,0,0,688697344,62984192,247775232,192077824,579544,626264
56.701,16.495,26.804,0,0,688697344,62984192,247775232,192081920,905864,670184
40.426,17.021,42.553,0,0,689471488,62210048,247775232,191307776,757240,835736
36.735,19.388,43.878,0,0,689483776,62210048,247762944,191307776,787744,887296
75,19.565,5.435,0,0,690049024,61632512,247775232,190742528,1231520,1724216
73.913,26.087,0,0,0,691683328,73400320,234381312,188366848,858392,980224
85.714,14.286,0,0,0,691683328,73400320,234381312,188366848,312536,236880
80,18.824,1.176,0,0,691679232,73400320,234385408,188366848,517984,708400
43.750,18.750,37.500,0,0,691691520,73400320,234373120,188370944,863040,656696
55.208,13.542,31.250,0,0,691937280,73142272,234385408,188125184,839880,714112
19.588,16.495,63.918,0,0,691933184,73142272,234389504,188125184,631992,719432
48.515,17.822,33.663,0,0,691933184,73142272,234389504,188129280,1127952,1306424
84.783,15.217,0,0,0,692191232,72884224,234389504,187871232,940672,1369264
80,20,0,0,0,693219328,71856128,234389504,186843136,484520,479952
82.716,17.284,0,0,0,694505472,70565888,234393600,185569280,374832,350040
56.842,23.158,20,0,0,694505472,70565888,234393600,185569280,818960,736264
35.870,14.130,50,0,0,694505472,70565888,234393600,185569280,809536,625760
38.043,10.870,51.087,0,0,694501376,70565888,234397696,185573376,730912,791224
36.735,14.286,48.980,0,0,694501376,70565888,234397696,185573376,846128,994192
69.792,13.542,16.667,0,0,694759424,70307840,234397696,185315328,1179664,1499048
82.759,17.241,0,0,0,694759424,70307840,234397696,185323520,730008,887888
77.922,22.078,0,0,0,694759424,70307840,234397696,185323520,391984,430080
82.759,17.241,0,0,0,695271424,69791744,234401792,184811520,608496,537928
74,23,3,0,0,695271424,69791744,234401792,184811520,1111064,1169112
35.417,16.667,47.917,0,0,695525376,69533696,234405888,184565760,821880,745144
67.010,14.433,18.557,0,0,695525376,69533696,234405888,184565760,867096,969136
59.596,17.172,23.232,0,0,697044992,68014080,234405888,183046144,929144,1065088
85.567,14.433,0,0,0,697044992,68014080,234405888,183046144,885264,981040
86.170,13.830,0,0,0,697298944,67756032,234409984,182792192,842016,862176
81.443,18.557,0,0,0,697298944,67756032,234409984,182800384,818400,865944
70.526,18.947,10.526,0,0,697294848,67756032,234414080,182804480,967936,923632
64.894,17.021,18.085,0,0,697294848,67756032,234414080,182804480,857056,886264
71.579,16.842,11.579,0,0,697552896,67497984,234414080,182546432,1316632,1380248
84.615,15.385,0,0,0,697552896,67497984,234414080,182546432,696104,1062016
70.213,20.213,9.574,0,0,698064896,66981888,234418176,182042624,720912,804040
85.393,14.607,0,0,0,698064896,66981888,234418176,182042624,862544,761288
84.091,15.909,0,0,0,699355136,65691648,234418176,180752384,538352,524264
49.485,17.526,32.990,0,0,700125184,64917504,234422272,179982336,669608,673192
67.010,11.340,21.649,0,0,700125184,64917504,234422272,179982336,866344,640072
49.485,10.309,40.206,0,0,700125184,64917504,234422272,179982336,921792,996976
54.639,15.464,29.897,0,0,701145088,63897600,234422272,178970624,808712,951872
75.258,14.433,10.309,0,0,702431232,62607360,234426368,177684480,769688,823608
76.289,23.711,0,0,0,692989952,80687104,225669120,186142720,1058288,1321696
78.495,21.505,0,0,0,693039104,80687104,225636352,186126336,864520,925896
52.083,18.750,29.167,0,0,693043200,80687104,225632256,186130432,728632,644688
84.783,15.217,0,0,0,693035008,80687104,225640448,186138624,669792,536160
84.783,15.217,0,0,0,693035008,80687104,225640448,186138624,683760,714848
45.455,16.162,38.384,0,0,693030912,80687104,225644544,186142720,930992,963144
60.825,15.464,23.711,0,0,693026816,80687104,225648640,186146816,932232,837152
66.327,14.286,19.388,0,0,693035008,80687104,225640448,186146816,822784,834744
87.500,12.500,0,0,0,693026816,80687104,225648640,186155008,852808,1049856
72.165,21.649,6.186,0,0,694280192,79413248,225652736,184893440,998624,1078776
77.083,11.458,11.458,0,0,695570432,78123008,225652736,183603200,998536,1117200
83.158,16.842,0,0,0,695566336,78123008,225656832,183607296,751784,674736
85.106,13.830,1.064,0,0,695832576,77864960,225648640,183349248,699280,634624
82.292,15.625,2.083,0,0,695824384,77864960,225656832,183357440,841760,799376
38.542,14.583,46.875,0,0,696082432,77606912,225656832,183099392,918408,809080
80.412,11.340,8.247,0,0,696078336,77606912,225660928,183103488,907120,1073888
57.895,12.632,29.474,0,0,696078336,77606912,225660928,183103488,797768,815928
78.947,15.789,5.263,0,0,696086528,77606912,225652736,183103488,969872,1003216
88.542,11.458,0,0,0,696561664,77119488,225665024,182624256,927424,1079696
49.462,13.978,36.559,0,0,697077760,76603392,225665024,182112256,971512,844536
72.917,11.458,15.625,0,0,698109952,75571200,225665024,181080064,824376,866816
88.298,11.702,0,0,0,698363904,75313152,225669120,180822016,639296,717864
84.375,15.625,0,0,0,698630144,75055104,225660928,180568064,808976,846560
82.418,17.582,0,0,0,698621952,75055104,225669120,180576256,806528,914408
59.794,18.557,21.649,0,0,699133952,74539008,225673216,180064256,953400,910904
55.914,10.753,33.333,0,0,699133952,74539008,225673216,180064256,799432,655864
