"dool 1.3.6 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","webserver2",,,,"User:","pascal"
"Cmdline:","./dool -c -m -n --output RR_NewTestCase_800T_1200R_ws2.csv",,,,"Date:","15 May 2026 21:27:55 WIB"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","cach","avai","recv","send"
2.420,1.000,96.451,0.129,0,688590848,75657216,228536320,191565824,0,0
0,0,100,0,0,688549888,75657216,228577280,191602688,480,944
0.505,0,99.495,0,0,688549888,75657216,228577280,191602688,1120,592
0.508,0,99.492,0,0,688549888,75657216,228577280,191602688,13088,480
0,0,99.497,0.503,0,688549888,75657216,228577280,191602688,1120,592
0,0,100,0,0,688549888,75657216,228577280,191602688,0,0
5.208,1.562,93.229,0,0,688549888,75657216,228577280,191610880,62256,123144
2.174,1.087,96.739,0,0,688549888,75657216,228577280,191610880,122208,194840
0,0.515,99.485,0,0,688549888,75657216,228577280,191614976,100584,169408
5.729,1.042,93.229,0,0,688549888,75657216,228577280,191614976,89592,222448
4.737,1.053,94.211,0,0,688549888,75657216,228577280,191614976,245240,313024
3.158,0.526,95.789,0.526,0,688558080,75657216,228569088,191614976,70872,21744
2.762,0.552,96.685,0,0,688549888,75657216,228577280,191623168,152512,294544
3.646,0.521,95.833,0,0,688549888,75657216,228577280,191623168,181296,182512
1.036,0,98.964,0,0,688549888,75657216,228577280,191623168,113304,169232
8.108,2.162,89.730,0,0,688549888,75657216,228577280,191623168,380584,474336
6.486,5.405,88.108,0,0,688549888,75657216,228577280,191623168,385264,622016
2.247,2.247,94.944,0.562,0,688558080,75657216,228569088,191623168,331848,388360
2.660,2.660,94.681,0,0,692740096,71462912,228581376,187441152,248008,299832
12.637,3.846,83.516,0,0,692740096,71462912,228581376,187441152,558136,740048
8.021,1.604,90.374,0,0,692740096,71462912,228581376,187441152,313576,375200
7.345,3.955,88.701,0,0,692740096,71462912,228581376,187441152,371520,587240
13.757,3.175,83.069,0,0,692748288,71462912,228573184,187441152,499656,572472
8.197,4.372,87.432,0,0,692740096,71462912,228581376,187449344,669128,742688
10.497,3.315,85.635,0.552,0,692740096,71462912,228581376,187449344,405432,663216
10.053,2.116,87.831,0,0,692736000,71462912,228585472,187453440,511520,425488
17.204,2.688,80.108,0,0,692736000,71462912,228585472,187453440,650616,838352
21.858,3.825,74.317,0,0,692744192,71462912,228577280,187453440,905192,1066552
8.995,1.058,89.947,0,0,692953088,71204864,228626432,187244544,240848,266096
14.208,5.464,80.328,0,0,693727232,70430720,228626432,186470400,720144,822456
15.301,4.372,80.328,0,0,693727232,70430720,228626432,186470400,779640,841960
15.707,4.188,80.105,0,0,693723136,70430720,228630528,186474496,596072,704808
14.674,2.174,83.152,0,0,693731328,70430720,228622336,186474496,524440,691240
20.430,3.763,75.806,0,0,693723136,70430720,228630528,186482688,751944,828200
19.126,2.732,78.142,0,0,693952512,70201344,228630528,186253312,891264,1029920
21.023,4.545,74.432,0,0,693952512,70201344,228630528,186253312,912424,934904
9.453,2.985,87.562,0,0,693948416,70201344,228634624,186257408,430344,593688
32.335,7.186,60.479,0,0,693948416,70201344,228634624,186257408,1257880,1435776
12.565,1.047,85.864,0.524,0,693948416,70201344,228634624,186265600,544280,548872
14.917,5.525,79.558,0,0,693948416,70201344,228634624,186265600,930616,1014864
29.121,6.593,64.286,0,0,693944320,70201344,228638720,186265600,1121904,1274960
18.079,7.910,74.011,0,0,693944320,70201344,228638720,186269696,1034776,1164536
22.335,4.569,73.096,0,0,693944320,70201344,228638720,186269696,865808,1058864
29.310,5.172,65.517,0,0,693944320,70201344,228638720,186269696,1052504,1142128
17.204,5.376,77.419,0,0,693940224,70201344,228642816,186281984,941680,1028256
24.862,4.972,70.166,0,0,693940224,70201344,228642816,186281984,979048,1179048
22.283,5.978,71.739,0,0,693940224,70201344,228642816,186281984,968192,923752
38.636,6.250,55.114,0,0,693940224,70201344,228642816,186281984,1204688,1464456
7.812,3.646,88.542,0,0,694460416,69685248,228638720,185769984,384088,522320
23.370,7.609,69.022,0,0,694452224,69685248,228646912,185778176,1192744,1096000
29.670,4.396,65.934,0,0,694448128,69685248,228651008,185782272,1070432,1336744
19.786,5.882,73.797,0.535,0,694964224,69169152,228651008,185266176,682800,835584
26.842,7.895,65.263,0,0,694960128,69169152,228655104,185270272,1259560,1353048
27.749,5.236,67.016,0,0,694960128,69169152,228655104,185270272,973496,1003584
29.379,4.520,66.102,0,0,694960128,69169152,228655104,185278464,963952,1332144
19.459,3.784,76.757,0,0,694956032,69169152,228659200,185282560,1053920,1001160
31.217,7.937,60.847,0,0,697278464,66846720,228659200,182960128,1342624,1286160
33.684,7.895,58.421,0,0,698568704,65556480,228659200,181669888,1143568,1564896
22.826,5.435,71.739,0,0,698568704,65552384,228663296,181665792,853328,983088
36.842,8.947,54.211,0,0,698826752,65294336,228663296,181420032,1231800,1262712
27.807,6.952,65.241,0,0,698826752,65294336,228663296,181420032,1032392,1299576
24.444,3.889,71.667,0,0,698822656,65294336,228667392,181424128,1053120,1280856
21.910,4.494,73.596,0,0,698822656,65294336,228667392,181424128,950248,649536
43.229,9.375,47.396,0,0,698822656,65294336,228667392,181424128,1429408,2000312
13.369,3.209,83.422,0,0,698818560,65294336,228671488,181436416,498848,592056
27.322,5.464,67.213,0,0,698818560,65294336,228671488,181436416,992840,1175968
10.106,3.723,86.170,0,0,698818560,65294336,228671488,181436416,821016,700688
28.877,5.348,65.775,0,0,699592704,64520192,228671488,180662272,891000,885488
30.899,5.056,64.045,0,0,699592704,64520192,228671488,180662272,1152176,1656576
32.558,5.814,61.628,0,0,699588608,64520192,228675584,180674560,971176,1084000
19.672,3.825,76.503,0,0,699588608,64520192,228675584,180674560,903864,968448
32.240,6.011,61.749,0,0,699588608,64520192,228675584,180674560,1221320,1367816
29.834,6.077,64.088,0,0,699584512,64520192,228679680,180678656,1285560,1355704
26.596,4.787,68.085,0.532,0,699584512,64520192,228679680,180678656,989048,1400448
33.862,5.820,60.317,0,0,699584512,64520192,228679680,180686848,1360744,1142864
34.615,4.945,60.440,0,0,699580416,64520192,228683776,180690944,1011544,1386480
29.032,5.376,65.591,0,0,699580416,64520192,228683776,180690944,1118080,1320592
16.022,4.420,79.558,0,0,699580416,64520192,228683776,180690944,685752,754792
41.935,7.527,50.538,0,0,700866560,63229952,228687872,179404800,1512704,1405240
30.601,4.372,65.027,0,0,700874752,63229952,228679680,179404800,950200,1346448
38.542,9.375,52.083,0,0,701124608,62971904,228687872,179154944,1019864,1638696
17.127,3.315,79.558,0,0,701120512,62971904,228691968,179159040,1014712,839256
32.432,5.405,62.162,0,0,701120512,62971904,228691968,179159040,1163208,1256968
35.165,6.593,58.242,0,0,701120512,62971904,228691968,179159040,943520,1331600
25.806,5.376,68.817,0,0,701124608,62971904,228687872,179163136,1083768,1187320
22.703,7.568,69.730,0,0,701116416,62971904,228696064,179171328,1094216,886368
42.045,6.818,51.136,0,0,701112320,62971904,228700160,179171328,1328088,1974432
23.158,5.789,71.053,0,0,701112320,62971904,228700160,179175424,976992,1024112
19.251,4.813,75.936,0,0,701112320,62971904,228700160,179175424,972272,975560
36.216,7.027,56.757,0,0,701120512,62971904,228691968,179175424,1261424,1118904
32.461,8.901,58.639,0,0,702115840,61968384,228700160,178180096,1101528,1291352
27.027,5.405,67.568,0,0,702287872,61792256,228704256,178008064,968376,1234752
30.114,5.682,64.205,0,0,702521344,61558784,228704256,177774592,1256464,1458560
34.946,5.376,59.677,0,0,702746624,61329408,228708352,177549312,1106808,1287640
22.162,5.405,71.892,0.541,0,687362048,77025280,228397056,192942080,862984,866608
34.783,6.522,58.696,0,0,687353856,77025280,228405248,192950272,1364944,1743376
21.910,3.933,74.157,0,0,687349760,77025280,228409344,192954368,711120,886648
24.044,6.011,69.945,0,0,687349760,77025280,228409344,192954368,1164776,1182712
34.946,7.527,57.527,0,0,687583232,76791808,228409344,192720896,1120224,1202928
38.043,6.522,55.435,0,0,687558656,76824576,228401152,192753664,1285872,1676928
17.204,3.763,79.032,0,0,686940160,77430784,228413440,193372160,888240,828976
26.064,7.447,66.489,0,0,687136768,77234176,228413440,193175552,1261056,1182696
44.865,7.027,48.108,0,0,687353856,77008896,228421632,192958464,904688,1295448
22.727,4.545,72.727,0,0,687353856,77008896,228421632,192958464,918840,1056800
29.444,5.556,65,0,0,687329280,77041664,228413440,192991232,1411056,1468576
24.457,6.522,69.022,0,0,687316992,77041664,228425728,192999424,1154608,1354304
25.967,4.972,69.061,0,0,687251456,77107200,228425728,193069056,1045176,1293704
17.935,3.261,78.804,0,0,687251456,77107200,228425728,193069056,966792,899904
45.405,8.649,45.946,0,0,687251456,77107200,228425728,193069056,1506096,1744144
36.170,6.915,56.915,0,0,687247360,77107200,228429824,193073152,1084528,1418432
38.947,8.421,52.632,0,0,687247360,77107200,228429824,193081344,1441336,1566544
22.703,4.324,72.432,0.541,0,687243264,77107200,228433920,193081344,641104,817808
44.199,6.077,49.724,0,0,687243264,77107200,228433920,193085440,1530056,1612080
25.275,7.143,67.582,0,0,687243264,77107200,228433920,193085440,1207768,1554432
8.152,4.348,87.500,0,0,687243264,77107200,228433920,193085440,832032,802824
37.363,8.791,53.846,0,0,687468544,76877824,228438016,192868352,1400072,1467808
32.447,4.787,62.766,0,0,687468544,76877824,228438016,192868352,970208,1255984
31.720,8.065,60.215,0,0,687468544,76877824,228438016,192868352,1348760,1397952
37.297,7.568,55.135,0,0,688754688,75587584,228442112,191582208,1261328,1513016
20.879,2.198,76.923,0,0,688754688,75587584,228442112,191582208,728120,727368
24.862,5.525,69.613,0,0,688754688,75587584,228442112,191590400,1416104,1369432
49.438,6.742,43.820,0,0,688750592,75587584,228446208,191590400,1465688,2103728
14.674,3.804,81.522,0,0,688750592,75587584,228446208,191594496,887432,817512
35.556,7.222,57.222,0,0,688750592,75587584,228446208,191594496,1114672,1152688
24.064,6.417,69.519,0,0,689778688,74555392,228450304,190566400,1050856,1049944
35.754,4.469,59.777,0,0,690552832,73781248,228450304,189800448,1068352,1293320
42.778,5,52.222,0,0,691335168,73007104,228442112,189026304,1318136,1504936
23.626,4.945,70.879,0.549,0,691322880,73007104,228454400,189038592,1052384,1411728
26.882,6.452,66.667,0,0,691322880,73007104,228454400,189038592,1067536,1127672
23.370,4.348,72.283,0,0,691318784,73007104,228458496,189038592,973896,1038968
37.705,6.557,55.738,0,0,691318784,73007104,228458496,189042688,1343208,1653912
27.869,5.464,66.667,0,0,691318784,73007104,228458496,189042688,682152,953224
24.468,8.511,67.021,0,0,691318784,73007104,228458496,189050880,1343424,1392176
42.703,8.108,49.189,0,0,691314688,73007104,228462592,189054976,1284576,1456896
14.130,3.804,82.065,0,0,691314688,73007104,228462592,189054976,832728,976424
