timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,Latency
1773335165130,201,0. Open Login,200,OK,Thread Group 1-1,true,194
1773335165374,146,0. Open Login,200,OK,Thread Group 1-2,true,133
1773335165332,224,1. Login TCExam,200,OK,Thread Group 1-1,true,161
1773335165520,265,1. Login TCExam,200,OK,Thread Group 1-2,true,189
1773335165622,189,0. Open Login,200,OK,Thread Group 1-3,true,179
1773335165556,333,2. Soal Bergambar,200,OK,Thread Group 1-1,true,248
1773335165889,82,0. Open Login,200,OK,Thread Group 1-1,true,82
1773335165811,238,1. Login TCExam,200,OK,Thread Group 1-3,true,157
1773335165785,442,2. Soal Bergambar,200,OK,Thread Group 1-2,true,363
1773335165873,363,0. Open Login,200,OK,Thread Group 1-4,true,337
1773335166227,88,0. Open Login,200,OK,Thread Group 1-2,true,88
1773335165972,503,1. Login TCExam,200,OK,Thread Group 1-1,true,445
1773335166049,446,2. Soal Bergambar,200,OK,Thread Group 1-3,true,292
1773335166495,46,0. Open Login,200,OK,Thread Group 1-3,true,46
1773335166123,453,0. Open Login,200,OK,Thread Group 1-5,true,430
1773335166373,288,0. Open Login,200,OK,Thread Group 1-6,true,269
1773335166315,441,1. Login TCExam,200,OK,Thread Group 1-2,true,301
1773335166237,611,1. Login TCExam,200,OK,Thread Group 1-4,true,450
1773335166541,327,1. Login TCExam,200,OK,Thread Group 1-3,true,211
1773335166662,396,1. Login TCExam,200,OK,Thread Group 1-6,true,267
1773335166622,474,0. Open Login,200,OK,Thread Group 1-7,true,462
1773335166872,253,0. Open Login,200,OK,Thread Group 1-8,true,240
1773335166577,735,1. Login TCExam,200,OK,Thread Group 1-5,true,492
1773335167122,307,0. Open Login,200,OK,Thread Group 1-9,true,294
1773335166476,1028,2. Soal Bergambar,200,OK,Thread Group 1-1,true,770
1773335167125,551,1. Login TCExam,200,OK,Thread Group 1-8,true,358
1773335167504,193,0. Open Login,200,OK,Thread Group 1-1,true,193
1773335166756,1015,2. Soal Bergambar,200,OK,Thread Group 1-2,true,850
1773335167373,456,0. Open Login,200,OK,Thread Group 1-10,true,441
1773335167623,299,0. Open Login,200,OK,Thread Group 1-11,true,287
1773335167771,265,0. Open Login,200,OK,Thread Group 1-2,true,265
1773335167096,968,1. Login TCExam,200,OK,Thread Group 1-7,true,624
1773335167430,722,1. Login TCExam,200,OK,Thread Group 1-9,true,477
1773335166868,1337,2. Soal Bergambar,200,OK,Thread Group 1-3,true,1223
1773335166848,1520,2. Soal Bergambar,200,OK,Thread Group 1-4,true,1153
1773335168205,167,0. Open Login,200,OK,Thread Group 1-3,true,167
1773335167058,1498,2. Soal Bergambar,200,OK,Thread Group 1-6,true,1290
1773335168368,230,0. Open Login,200,OK,Thread Group 1-4,true,230
1773335168122,542,0. Open Login,200,OK,Thread Group 1-13,true,517
1773335167872,901,0. Open Login,200,OK,Thread Group 1-12,true,881
1773335167923,980,1. Login TCExam,200,OK,Thread Group 1-11,true,575
1773335168556,349,0. Open Login,200,OK,Thread Group 1-6,true,349
1773335167697,1227,1. Login TCExam,200,OK,Thread Group 1-1,true,855
1773335168622,326,0. Open Login,200,OK,Thread Group 1-15,true,315
1773335167312,1749,2. Soal Bergambar,200,OK,Thread Group 1-5,true,1431
1773335168372,742,0. Open Login,200,OK,Thread Group 1-14,true,724
1773335168037,1079,1. Login TCExam,200,OK,Thread Group 1-2,true,611
1773335168372,811,1. Login TCExam,200,OK,Thread Group 1-3,true,400
1773335167829,1515,1. Login TCExam,200,OK,Thread Group 1-10,true,1014
1773335169061,394,0. Open Login,200,OK,Thread Group 1-5,true,394
1773335168664,856,1. Login TCExam,200,OK,Thread Group 1-13,true,555
1773335167676,2005,2. Soal Bergambar,200,OK,Thread Group 1-8,true,1772
1773335169373,419,0. Open Login,200,OK,Thread Group 1-18,true,411
1773335168906,1105,1. Login TCExam,200,OK,Thread Group 1-6,true,779
1773335168152,1877,2. Soal Bergambar,200,OK,Thread Group 1-9,true,1798
1773335168598,1434,1. Login TCExam,200,OK,Thread Group 1-4,true,1130
1773335169682,366,0. Open Login,200,OK,Thread Group 1-8,true,366
1773335168948,1102,1. Login TCExam,200,OK,Thread Group 1-15,true,761
1773335168064,2111,2. Soal Bergambar,200,OK,Thread Group 1-7,true,1585
1773335168872,1352,0. Open Login,200,OK,Thread Group 1-16,true,1318
1773335169873,479,0. Open Login,200,OK,Thread Group 1-20,true,459
1773335169122,1263,0. Open Login,200,OK,Thread Group 1-17,true,1234
1773335168773,1747,1. Login TCExam,200,OK,Thread Group 1-12,true,1331
