"dool 1.3.6 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","webserver1",,,,"User:","debian"
"Cmdline:","/usr/local/bin/dool -c -m -n --output metrics_WS1_2000T_300R.csv 1",,,,"Date:","09 Jun 2026 01:11:43 WIB"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","cach","avai","recv","send"
4.276,0.633,95.063,0.027,0.001,344875008,3513196544,217993216,3570884608,0,0
0.0,0.0,100.0,0.0,0.0,344875008,3513196544,217993216,3570884608,7056,97712
0.0,0.0,100.0,0.0,0.0,344862720,3513196544,218005504,3570888704,336,4320
0.0,0.0,100.0,0.0,0.0,345092096,3512967168,218005504,3570663424,7504,98712
0.0,0.0,100.0,0.0,0.0,345096192,3512967168,218001408,3570659328,0,0
0.0,0.0,100.0,0.0,0.0,345096192,3512967168,218001408,3570659328,2608,93672
0.0,0.0,100.0,0.0,0.0,345096192,3512967168,218001408,3570659328,1552,0
0.0,0.0,100.0,0.0,0.0,345096192,3512967168,218001408,3570659328,3040,93672
0.0,0.0,100.0,0.0,0.0,345096192,3512967168,218001408,3570659328,0,0
0.0,0.0,100.0,0.0,0.0,345096192,3512967168,218001408,3570671616,5768,98712
2.506,0.251,97.243,0.0,0.0,345554944,3512508416,218001408,3570212864,78032,56720
12.5,0.5,87.0,0.0,0.0,345837568,3512258560,218009600,3569950720,107248,423440
32.099,3.951,63.951,0.0,0.0,366374912,3491741696,218013696,3549425664,568784,1007072
34.491,1.737,63.772,0.0,0.0,367861760,3490291712,218013696,3547963392,836976,1441824
30.37,1.481,68.148,0.0,0.0,370388992,3487825920,218021888,3545468928,1058520,1764352
26.382,1.005,72.613,0.0,0.0,372129792,3486076928,218030080,3543728128,1298456,2172528
24.627,1.741,73.383,0.249,0.0,373809152,3484454912,218021888,3542081536,1486288,2241672
30.051,0.505,69.444,0.0,0.0,375312384,3482935296,218046464,3540582400,1609288,2338728
34.171,2.261,63.568,0.0,0.0,377573376,3480666112,218054656,3538321408,2516464,3533200
49.373,1.504,49.123,0.0,0.0,379052032,3479175168,218066944,3536834560,3071160,4306184
44.389,2.743,52.868,0.0,0.0,380276736,3477942272,218075136,3535618048,2140280,3253360
53.518,2.01,44.472,0.0,0.0,382013440,3476193280,218087424,3533885440,2940608,3622792
47.475,1.263,51.263,0.0,0.0,382746624,3475447808,218099712,3533156352,3100272,4283008
53.518,2.513,43.719,0.0,0.251,384294912,3473899520,218107904,3531612160,3472512,4619248
51.98,1.98,46.04,0.0,0.0,385507328,3472666624,218128384,3530399744,3074704,4171192
65.649,2.545,31.807,0.0,0.0,387211264,3470946304,218144768,3528695808,4631232,5863400
72.772,2.97,24.257,0.0,0.0,387457024,3470688256,218157056,3528458240,4938968,6432200
59.75,1.25,39.0,0.0,0.0,388214784,3469914112,218173440,3527696384,3770800,5249408
69.9,3.234,26.866,0.0,0.0,389181440,3468980224,218189824,3526758400,5254392,5975896
75.126,2.261,22.613,0.0,0.0,389672960,3468468224,218210304,3526262784,5704656,6785328
72.569,2.494,24.938,0.0,0.0,390664192,3467464704,218222592,3525275648,5495624,6876232
89.776,2.244,7.98,0.0,0.0,391417856,3466739712,218243072,3524554752,6231112,7657656
86.935,2.764,10.302,0.0,0.0,391921664,3466276864,218267648,3524079616,6261704,7634872
81.592,3.731,14.677,0.0,0.0,397127680,3461054464,218284032,3518873600,6533280,7337664
90.201,3.266,6.533,0.0,0.0,398331904,3459825664,218308608,3517673472,7703424,8361336
79.449,1.504,19.048,0.0,0.0,398778368,3459338240,218324992,3517214720,4996112,6363408
91.688,2.771,5.542,0.0,0.0,400273408,3457822720,218345472,3515719680,7452392,8350672
95.771,3.98,0.249,0.0,0.0,400994304,3457081344,218370048,3515002880,7258256,8557472
92.732,3.008,4.261,0.0,0.0,401227776,3456827392,218390528,3514769408,7505368,8680680
85.787,3.046,11.168,0.0,0.0,405913600,3452121088,218411008,3510079488,7387048,8372224
97.257,2.743,0.0,0.0,0.0,407957504,3450056704,218431488,3508035584,8106568,8091104
95.75,4.25,0.0,0.0,0.0,412274688,3445706752,218451968,3503722496,7802600,9036632
96.5,3.5,0.0,0.0,0.0,413773824,3444203520,218472448,3502231552,7279560,8199384
97.25,2.75,0.0,0.0,0.0,415531008,3442401280,218501120,3500466176,8270568,9492096
96.75,3.25,0.0,0.0,0.0,421441536,3436470272,218521600,3494555648,7663424,7785520
97.5,2.5,0.0,0.0,0.0,427827200,3430064128,218542080,3488169984,8526312,9254160
96.241,3.759,0.0,0.0,0.0,438853632,3418996736,218562560,3477143552,8227312,8718496
95.75,4.25,0.0,0.0,0.0,458354688,3399491584,218583040,3457650688,7179536,8142032
93.25,6.75,0.0,0.0,0.0,478552064,3379257344,218603520,3437445120,7747112,7869176
95.25,4.75,0.0,0.0,0.0,494768128,3363000320,218628096,3421220864,6971544,7617040
96.75,3.25,0.0,0.0,0.0,498499584,3359248384,218648576,3417489408,7798552,8297912
96.758,3.242,0.0,0.0,0.0,501538816,3356184576,218673152,3414454272,7585472,8766520
97.25,2.75,0.0,0.0,0.0,506396672,3351306240,218693632,3409600512,7412736,8416920
97.25,2.5,0.0,0.0,0.25,507867136,3349782528,218714112,3408109568,7499224,8363312
96.5,3.5,0.0,0.0,0.0,509128704,3348496384,218738688,3406852096,8286312,9185624
97.5,2.5,0.0,0.0,0.0,512434176,3345154048,218755072,3403534336,6444616,6864000
96.0,4.0,0.0,0.0,0.0,535035904,3322527744,218779648,3380936704,6638424,7567088
94.75,5.25,0.0,0.0,0.0,547643392,3309875200,218808320,3368321024,8285824,9087936
94.763,5.237,0.0,0.0,0.0,560717824,3296776192,218832896,3355250688,8068448,9626168
95.238,4.762,0.0,0.0,0.0,577880064,3279548416,218853376,3338063872,7215816,7856720
94.015,5.985,0.0,0.0,0.0,599412736,3257974784,218873856,3316514816,7943632,8650920
95.99,4.01,0.0,0.0,0.0,616308736,3241058304,218890240,3299627008,7313208,7925504
97.0,3.0,0.0,0.0,0.0,623403008,3233923072,218914816,3292524544,8206720,9507832
97.5,2.5,0.0,0.0,0.0,624152576,3233148928,218939392,3291770880,5718832,7359984
95.761,4.239,0.0,0.0,0.0,625418240,3231858688,218968064,3290509312,8693160,9762024
98.0,2.0,0.0,0.0,0.0,627142656,3230113792,218988544,3288784896,7126792,7208408
97.995,2.005,0.0,0.0,0.0,629673984,3227533312,219009024,3286233088,6213600,7301328
97.25,2.75,0.0,0.0,0.0,633688064,3223461888,219029504,3282202624,8470136,9802952
97.75,2.25,0.0,0.0,0.0,636997632,3220123648,219058176,3278897152,7190064,8239528
97.5,2.5,0.0,0.0,0.0,637227008,3219865600,219086848,3278667776,7583880,9515656
97.5,2.5,0.0,0.0,0.0,639754240,3217301504,219107328,3276128256,7493456,8529064
