"dool 1.3.6 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","webserver1",,,,"User:","debian"
"Cmdline:","/usr/local/bin/dool -c -m -n --output metrics_WS1_2000T_600R.csv 1",,,,"Date:","09 Jun 2026 01:48:58 WIB"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","cach","avai","recv","send"
5.822,0.629,93.521,0.026,0.001,382337024,3463888896,229507072,3535425536,0,0
0,0,100,0,0,382332928,3463888896,229511168,3535429632,4448,4040
0,0,100,0,0,382337024,3463888896,229507072,3535425536,3472,99000
0,0,100,0,0,382337024,3463888896,229507072,3535425536,528,0
0.250,0,99.750,0,0,382337024,3463888896,229507072,3535425536,5464,94200
0,0,99.750,0.250,0,382332928,3463888896,229507072,3535429632,0,0
0,0,100,0,0,382332928,3463888896,229507072,3535437824,3568,94200
0.249,0.249,99.501,0,0,382332928,3463888896,229507072,3535437824,2632,4512
0,0,100,0,0,382562304,3463659520,229507072,3535208448,2608,93672
4.250,0.250,95.500,0,0,382820352,3463401472,229507072,3534950400,53008,120784
13.065,2.513,84.422,0,0,394448896,3451805696,229507072,3523338240,241064,530536
8.772,0.501,90.727,0,0,394690560,3451568128,229519360,3523104768,195736,322480
14.988,0.983,84.029,0,0,394887168,3451412480,229519360,3522928640,439248,854920
17.500,0.500,82,0,0,394911744,3451412480,229515264,3522924544,451960,752032
16.541,1.003,82.456,0,0,395898880,3450466304,229519360,3521953792,544936,947880
16.583,0.503,82.915,0,0,396382208,3449999360,229527552,3521482752,1064864,1655376
15.539,1.253,83.208,0,0,397086720,3449294848,229527552,3520786432,928264,1513224
19.059,0.743,80.198,0,0,397336576,3449036800,229535744,3520536576,1067856,1554896
24.814,0.993,74.194,0,0,398565376,3447803904,229539840,3519307776,1411008,2074584
31.095,1.244,67.662,0,0,398802944,3447558144,229548032,3519066112,1714984,2279824
18.797,0.752,80.451,0,0,399314944,3447042048,229552128,3518554112,1154432,1623296
24.747,0.758,74.495,0,0,399532032,3446812672,229564416,3518345216,1915016,2300648
23.291,1.266,75.443,0,0,400019456,3446325248,229564416,3517857792,2205464,2940432
20,0.500,79.500,0,0,400273408,3446067200,229568512,3517603840,1086152,1543712
40.657,1.010,58.333,0,0,401002496,3445321728,229584896,3516874752,2767448,3323448
28.354,0.759,70.886,0,0,401743872,3444576256,229588992,3516133376,2234696,2531816
32.258,1.737,65.757,0.248,0,402255872,3444060160,229593088,3515625472,2290224,2681976
31.566,1.010,67.424,0,0,403226624,3443085312,229601280,3514650624,2141952,2589656
30.633,0.506,68.861,0,0,403451904,3442855936,229605376,3514433536,2300208,2988592
41.814,1.511,56.675,0,0,403959808,3442339840,229613568,3513925632,3238872,3543360
37.343,1.003,61.654,0,0,403947520,3442339840,229625856,3513937920,2374648,3204032
46.096,2.267,51.637,0,0,405176320,3441106944,229634048,3512709120,3335552,3763976
31.920,1.746,66.334,0,0,405422080,3440848896,229646336,3512467456,2146456,2825272
55.446,1.733,42.822,0,0,405929984,3440332800,229654528,3511959552,4345824,4729624
42.432,2.481,55.087,0,0,406409216,3439845376,229662720,3511484416,2858768,3775752
43.812,2.723,53.465,0,0,406392832,3439845376,229675008,3511500800,3533696,4062000
51.122,1.496,47.382,0,0,407130112,3439099904,229683200,3510771712,3623560,4149936
48.485,2.273,49.242,0,0,407863296,3438354432,229695488,3510038528,3924552,4574936
55.112,1.496,43.392,0,0,408076288,3438125056,229711872,3509821440,3806968,4551640
56.533,2.010,41.457,0,0,408322048,3437867008,229724160,3509571584,4386168,4911856
45.960,1.263,52.778,0,0,408567808,3437608960,229736448,3509334016,3762544,4359008
60.050,2.481,37.469,0,0,409792512,3436376064,229744640,3508117504,4736112,5079608
65.586,2.743,31.671,0,0,410034176,3436118016,229761024,3507875840,4906896,5762016
59.750,1.250,39,0,0,410537984,3435601920,229773312,3507372032,4077720,4717336
59.950,2.519,37.531,0,0,414969856,3431153664,229789696,3502936064,5146576,5669624
69.250,2.750,28,0,0,415956992,3430150144,229806080,3501953024,5707400,6497392
61.654,2.005,36.341,0,0,416206848,3429892096,229818368,3501711360,5169432,5743000
66.416,2.256,31.328,0,0,417157120,3428921344,229838848,3500761088,5859912,6349648
61.111,3.283,35.606,0,0,418369536,3427688448,229859328,3499548672,5061640,6089312
67.246,2.233,30.273,0,0.248,418365440,3427725312,229875712,3499573248,5951776,6201352
64.662,2.757,32.581,0,0,423059456,3423019008,229888000,3494883328,5138584,5870624
69.500,2.750,27.750,0,0,423043072,3423019008,229904384,3494903808,5875552,6236752
81.141,3.226,15.633,0,0,423026688,3423019008,229920768,3494920192,6410688,6595744
69.211,3.053,27.735,0,0,424546304,3421474816,229945344,3493400576,6565920,7421376
64.750,2.750,32.500,0,0,426336256,3419668480,229961728,3491610624,5387952,5656304
82.456,2.506,15.038,0,0,427089920,3418898432,229978112,3490848768,6572048,7165232
85.786,3.990,9.975,0.249,0,427069440,3418898432,229998592,3490881536,6954920,7827160
64.051,2.025,33.924,0,0,427053056,3418898432,230014976,3490893824,5019800,5851664
76.190,2.506,21.303,0,0,427286528,3418644480,230035456,3490668544,6101904,6606976
82.750,3,14.250,0,0,427786240,3418128384,230051840,3490164736,6734512,7485136
64.987,2.015,32.997,0,0,427995136,3417899008,230072320,3489955840,4700584,6012672
91.250,4,4.750,0,0,428695552,3417165824,230096896,3489259520,7652296,8310424
61.845,2.743,35.411,0,0,428683264,3417165824,230109184,3489271808,4524024,5230256
88.917,2.267,8.816,0,0,429461504,3416412160,230133760,3488514048,5962224,6887536
79.557,3.695,16.749,0,0,429461504,3416444928,230150144,3488538624,6388928,7363184
81,3,16,0,0,430219264,3415670784,230166528,3487784960,6860360,7431320
87.469,3.258,9.273,0,0,431222784,3414642688,230191104,3486781440,6598408,7704024
72.265,2.799,24.936,0,0,432963584,3412869120,230219776,3485032448,6558848,7388048
79.500,3.500,17,0,0,433983488,3411836928,230232064,3484020736,6730064,7616888
75.931,1.985,22.084,0,0,434741248,3411062784,230248448,3483262976,6391920,7055656
68.408,2.985,28.607,0,0,435929088,3409854464,230268928,3482075136,5600264,6395416
77.475,2.970,19.307,0.248,0,437194752,3408564224,230293504,3480809472,5855488,7098232
75.253,2.273,22.475,0,0,438464512,3407278080,230309888,3479539712,6091800,6687376
77.330,3.526,19.144,0,0,439480320,3406245888,230326272,3478528000,6319872,6950200
79.455,2.228,18.317,0,0,440225792,3405475840,230350848,3477774336,6572440,7408864
84.211,2.256,13.534,0,0,441749504,3403927552,230371328,3476254720,5556136,6484432
79.250,2.750,18,0,0,443023360,3402641408,230383616,3474984960,6359776,7060832
91.750,2.750,5.500,0,0,444030976,3401609216,230408192,3473973248,6478720,7425712
78.697,3.258,18.045,0,0,445296640,3400323072,230428672,3472711680,6530368,7237144
63.840,2.743,33.416,0,0,446316544,3399290880,230440960,3471691776,5324512,5889504
87.750,3,9.250,0,0,446554112,3399036928,230473728,3471458304,7877816,8741128
62,2.750,35.250,0,0,446537728,3399036928,230486016,3471478784,5285168,5694840
77.889,2.764,19.347,0,0,447258624,3398295552,230506496,3470766080,6220360,7522776
76.884,3.266,19.849,0,0,448012288,3397525504,230522880,3470012416,7061688,7202160
66,2,32,0,0,448765952,3396751360,230543360,3469258752,4821984,6230984
72.818,2.743,24.439,0,0,448729088,3396751360,230563840,3469283328,5589432,6253976
83.417,2.261,14.322,0,0,448966656,3396497408,230580224,3469053952,6587672,7360480
76.263,2.020,21.717,0,0,448950272,3396497408,230596608,3469070336,5299584,6156368
79.800,3.242,16.958,0,0,449957888,3395465216,230621184,3468058624,6639280,7375960
74.564,3.242,22.195,0,0,450457600,3394949120,230637568,3467563008,5232496,6097216
83.541,2.743,13.716,0,0,451461120,3393921024,230662144,3466559488,6484752,7026560
88.191,2.261,9.548,0,0,451448832,3393921024,230674432,3466575872,5908952,6633624
72.457,2.978,24.318,0.248,0,451424256,3393921024,230694912,3466600448,5467520,6588912
82.707,2.757,14.536,0,0,451399680,3393921024,230719488,3466620928,6511616,7233416
68.608,3.291,28.101,0,0,451633152,3393671168,230739968,3466387456,6471192,7540656
65.087,2.743,32.170,0,0,452136960,3393155072,230752256,3465891840,6078984,6557408
65.570,3.038,31.392,0,0,452116480,3393155072,230772736,3465916416,5770352,6678864
89.975,2.757,7.268,0,0,452349952,3392901120,230793216,3465682944,6095000,6840096
84.367,4.467,11.166,0,0,452329472,3392901120,230813696,3465707520,6648840,7699264
89.950,3.015,7.035,0,0,452562944,3392643072,230838272,3465469952,6939800,7987088
63.797,2.785,33.418,0,0,452542464,3392643072,230858752,3465494528,5939432,7080880
80.549,2.244,17.207,0,0,453029888,3392131072,230879232,3465003008,6370632,7006336
76.322,2.519,21.159,0,0,453263360,3391873024,230903808,3464773632,5860440,6734656
79.345,3.023,17.632,0,0,453230592,3391873024,230916096,3464810496,6442552,7033400
88.191,1.508,10.302,0,0,453459968,3391619072,230940672,3464577024,5367624,6601744
75.111,9.111,15.778,0,0,453443584,3391619072,230957056,3464597504,5003600,5699400
70.588,17.647,11.471,0,0.294,453435392,3391619072,230965248,3464613888,2380232,2013832
94.250,5.750,0,0,0,455544832,3389509632,230981632,3462512640,7918432,7966864
87.719,2.506,9.774,0,0,455766016,3389267968,231002112,3462283264,4727368,6729024
70.781,2.771,26.448,0,0,456003584,3389014016,231018496,3462049792,5563120,6137288
97.250,2.750,0,0,0,456200192,3388796928,231038976,3461853184,7554712,8415464
80.050,2.494,17.456,0,0,456658944,3388317696,231059456,3461406720,5642360,6518488
